EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM-L12_multi;multi_e5;xml_roberta
;Kas;laulupidudest;tähendab;;laulupidudest;laulupidudest;võib-olla
meespolügoon;meeste;laulupidu;meespolügoon;read;laulmist;Laulumeeste;lihtsalt
enam-vähem;Aga;laulud;meeskoorile;selged;koori;Laulupidu;12
Räpinas;meeskooris;laulupeolt;meeldivaid;tähendab;laululavalt;laulupidu;varem
Võib-olla;koolipoisist;laulmist;laulupeoni;kell;laulukaare;ühislaulmised;uuesti
võib-olla;vana;laulu;saatjaks;tore;vanaks;laulud;See
Laulupidu;lastekoor;laulda;üldse;kao;vanad;laulmist;hästi
laulupidu;uusi;laulupeol;koolipoisist;asi;laulupeoni;laulupeolt;nii-öelda
üllatusi;Te;laulupeoni;tegelikult;annab;vanadega;laululavalt;tegelikult
ülikond;kell;laulate;kaariste;visata;Vanasti;laulukaare;14
jäeti;kool;aastatel;kuuekümnendatel;antakse;vananevad;Räpinas;koolipoisist
tundub;ühislaulmised;laulukaare;vananevad;korda;laulupidu;laulupeol;olemegi
võimalused;;aastad;repertuaari;kindlasti;laulud;koolipoisist;On
tähendab;Kuidas;laululavalt;vanadega;laulate;ajast;Kuidas;kahjuks
põhikooli;tahtmine;laule;pruukida;kannavad;laulupeolt;laulupeoni;jätta
üldse;tore;aastat;nüansse;lapsed;aastatel;laule;ühine
kaariste;ilusat;mälestusi;laulmist;See;hääl;meeskooris;Mida
rõõmud;No;koolipoisist;saatja;tea;olemegi;hääl;read
mõistetav;Mis;varasematest;dirigentidelt;kaovad;kooriga;laulu;püüame
ükskord;jalad;aasta;üllatusi;nii-öelda;laulu;koori;vihma
ühislaulmised;hingele;vanad;ühendproov;meeste;laulupeol;Paikuse;üldse
tuhinik;vaja;mäletan;meeskooris;kolm;aastad;osalete;vähe
nii-öelda;proovid;kooli;enam-vähem;no;nooruslikkust;osalejana;kuuekümnendatel
valikkoorid;Mida;;varasematest;vaja;koolipoisist;pidu;noori
veab;laulupidu;meeskooris;laulupeolt;noored;mäletan;laulda;aastat
tõeline;tõeline;tunni;läbimärjaks;võib-olla;varasemast;Nüüd;vaja
mõnus;aasta;meeskoorile;ühislaulmised;veab;traditsioon;meeskoorile;100
kuuekümnendatel;põhikooli;vanadega;litsist;saatja;jõudsime;vananevad;enam-vähem
lastekoor;laulud;repertuaar;kuskile;kõikul;varasematest;kuskile;huvitaksid
asi;Nad;vihma;niiviisi;tunnet;lapsed;nii-öelda;valikkoorid
kuigivõrd;Vanasti;pidu;proovite;hingele;noori;kaasa;taati
kahjuks;repertuaar;repertuaari;nooruslikkust;kaasa;Vanade;niiviisi;kuulata
laulu;meeldivaid;hääl;mõtled;võimalused;aastat;lastekoor;põhikooli
tahtmine;proovi;üksikuid;ilusat;aega;kuuekümnendatel;jätkate;kell
traditsioon;Räpinas;kordusi;lihvimiseks;laule;aasta;jõudsime;kuskile
laulupeol;vanad;kuuekümnendatel;ülikond;vanad;noored;varasematest;läbimärjaks
püüame;kasvavad;rahvas;laulukaare;tegelikult;üldse;uuesti;kaariste
laulud;tunneb;varasemast;pealtvaatajana;tunne;kao;käinud;eestlased
vähener;14;vana;laulupeol;proovi;kaasa;rahvas;tundsin
huvitaksid;Mina;tegutsenud;tunneb;Ei;kooli;näha;rahvas
lihtsalt;mõtled;pärit;huvitaksid;laulmist;niiviisi;noored;Tere
jõudsime;olemegi;noored;vähener;tahtmine;püüame;mälestusi;Kuidas
jutt;kuskile;proovid;kordusi;varem;käinud;käin;No
laululavalt;uuesti;esimesed;kooli;vähe;repertuaar;repertuaari;jõudsime
kõikul;Nagu;noori;Laulumeeste;iiliti;vana;nooruslikkust;tundub
koolipoisist;See;jõudsime;lastekoori;ahastuses;repertuaari;kooriga;Ja
kordusi;Ulvi;lastekoori;laulupidu;oodata;mõtled;aastatel;
Laulumeeste;asi;lastekoor;olemegi;vähener;ootate;käia;Kaua
varem;noored;Vanasti;kasvavad;repertuaar;kuigivõrd;lastekoori;nooruslikkust
tunni;aastat;korda;mäletan;tundsin;nii-öelda;Milliseid;visata
read;meespolügoon;olemegi;laululavalt;üldse;kuulata;kahjuks;pidu
mäletan;read;uuesti;kujutagi;olemegi;tähendab;kaariste;meeste
Jah;Tere;põhikooli;lihtsalt;uuesti;asi;mäletan;varasemast
repertuaari;selged;ajast;lastekoor;hästi;kujutagi;kuuekümnendatel;jätkate
laulupidudest;lastekoori;Laulumeeste;proovid;mõistetav;antakse;varasemast;kool
tegutsenud;lihvimiseks;ühislaulmised;jäeti;ühine;eestlased;olemegi;Jah
Vanade;laulupeoni;aega;uuesti;vihma;pidu;mõnus;asi
jalad;kindlasti;tuhinik;jõudsime;ülikond;kaovad;hästi;ajast
vanad;Kaua;võimalused;ükskord;proovid;rahvas;kooli;ükskord
Mina;tunni;Vanade;varem;uusi;kool;rahvuslikust;no
saatjaks;Milliseid;ühine;nii-öelda;ootate;tunni;eestlased;lihvimiseks
võetud;kõvasti;Laulupidu;ahastuses;kooriga;kõikul;aastat;Te
käinud;kuuekümnendatel;vananevad;tegutsenud;kujutagi;Kaua;pealtvaatajana;laule
pruukida;ootate;rahvuslikust;laulud;lastekoor;käin;tundub;aasta
lapsed;veab;varem;traditsioon;meeskoorile;tundsin;oodata;Nagu
mõtled;ajast;kannavad;tundsin;jalad;tegelikult;tegelikult;koori
jätkate;ükskord;vanaks;valikkoorid;leian;Ja;Nagu;mäletan
Nad;võetud;ükskord;kahjuks;üllatusi;varem;üldse;vähener
laulupeolt;saatja;koori;veab;enam-vähem;tundub;Vanasti;kõvasti
rahvuslikust;laululavalt;Milliseid;ajast;litsist;tahan;proovi;mõtled
kasvavad;Jah;rõõmud;tõeline;kuuekümnendatel;huvitaksid;jätta;traditsioon
See;ühendproov;60;ühine;kenasti;põhikooli;püüame;käinud
meeskoorile;tegelikult;traditsioon;visata;pruukida;käia;pärit;meeskooris
kool;noori;uusi;kogeda;laulu;Nüüd;sammu;laulupidudest
laulukaare;tahavad;proovite;hingele;mäletan;ootan;vihma;kordusi
pidu;pärit;päeva;leian;vana;mälestusi;aastad;rahvuslikust
hästi;läbimärjaks;püüame;ootate;vanaks;lihvimiseks;kõikul;Mis
vanaks;kenasti;võetud;kaovad;varasemast;aega;ükskord;lapsed
vanadega;laulukaare;kool;tunni;aasta;Ei;võetud;tunni
100;mõistetav;osalejana;varasemast;proovite;tunneb;meespolügoon;Laulupidu
Nüüd;mäletan;kuulata;oodata;sammu;lihtsalt;esimesed;kogeda
lastekoori;tähendab;ühendproov;tunne;kuulata;kannavad;ühendproov;aastatel
osalejana;tundsin;meespolügoon;annab;ajast;Mina;ühine;laulupidu
kooriga;tundub;dirigentidelt;mälestusi;kool;pärit;tähendab;tunnet
Vanasti;varem;antakse;laulupidudest;meeldivaid;ühislaulmised;proovite;kolm
koori;hästi;lapsed;vana;tunni;päeva;päeva;annab
niiviisi;niiviisi;kooriga;mõistetav;võetud;saatjaks;kool;kooriga
kooli;kaovad;jutt;Nagu;ootan;ükskord;kõvasti;laulupeol
ahastuses;leian;tähendab;näha;aastat;sammu;rõõmud;laulud
üksikuid;kolm;mõtled;rahvuslikust;esimesed;Aga;traditsioon;tuhinik
12;annab;visata;repertuaar;saatjaks;kordusi;vanadega;osalete
hingele;tahan;nooruslikkust;põhikooli;koori;Räpinas;valikkoorid;repertuaar
kujutagi;kuigivõrd;käinud;uusi;nüansse;oodata;aega;võimalused
14;ühine;Nüüd;kuigivõrd;tundub;osalete;kindlasti;mõnus
Mida;laulupeolt;tundub;hästi;tunneb;kogeda;kasvavad;tegutsenud
sammu;sammu;vähe;noored;kahjuks;mõnus;lapsed;mälestusi
Paikuse;laulate;tunnet;vähe;No;;pruukida;saatjaks
Nagu;ahastuses;nüansse;kõikul;On;näha;mõtled;leian
repertuaar;laulu;tunne;iiliti;ilusat;saatja;kogeda;kasvavad
Kuidas;pruukida;meeste;kenasti;Nüüd;jäeti;aasta;korda
vananevad;iiliti;tundsin;vanad;niiviisi;Jah;kaovad;Milliseid
aasta;koori;enam-vähem;laule;Võib-olla;jätta;proovid;näha
pealtvaatajana;vähener;eestlased;osalejana;jätta;Nad;lihtsalt;kannavad
ühendproov;lapsed;võib-olla;Võib-olla;meeskooris;meeste;põhikooli;60
meeskooris;tea;Räpinas;kõvasti;jutt;Mida;üllatusi;proovi
kolm;tuhinik;tegelikult;tuhinik;Aga;osalejana;Võib-olla;Nüüd
nüansse;laule;proovi;Laulupidu;jõudsime;Mis;kuulata;ootan
tahavad;laulda;hästi;proovi;Nad;tahavad;Mida;niiviisi
Mis;meeskoorile;tõeline;jutt;varasematest;algasid;tahavad;käin
tunne;laulupeol;tunneb;kindlasti;läbimärjaks;Nagu;kolm;rõõmud
meeste;aastad;jalad;võib-olla;nooruslikkust;Tere;tegutsenud;jutt
Ulvi;repertuaari;jäeti;käin;laulud;kenasti;enam-vähem;Ei
aastat;enam-vähem;mõistetav;osalete;lastekoori;laule;kujutagi;Laulumeeste
kõvasti;laulupidudest;kõikul;no;tegutsenud;hästi;tunne;päeva
laule;ülikond;üldse;päeva;100;annab;läbimärjaks;laulu
60;rõõmud;kao;esimesed;laulda;Kuidas;saatjaks;Aga
Tere;rahvuslikust;saatja;aega;ühislaulmised;Paikuse;jäeti;laulupeoni
aastad;valikkoorid;Kas;üksikuid;laulukaare;võetud;ootan;varasematest
laulate;dirigentidelt;100;jätkate;laulupidu;no;vana;litsist
tahan;Võib-olla;Jah;vanaks;pärit;Kas;tundsin;ülikond
kaovad;pidu;kaariste;püüame;mälestusi;meeskooris;uusi;kindlasti
vihma;eestlased;käia;tunnet;kaariste;kuskile;ülikond;kooli
läbimärjaks;jutt;kell;käia;osalete;jätkate;jalad;esimesed
osalete;pealtvaatajana;kuskile;Tere;repertuaari;meeldivaid;ilusat;tunne
noored;kao;Ulvi;ootan;taati;laulate;korda;uusi
Ja;kuulata;meeldivaid;vihma;Milliseid;mõistetav;vaja;kaovad
näha;saatjaks;jätta;antakse;kuigivõrd;No;noori;meeskoorile
uusi;osalejana;jätkate;laulate;rahvas;vaja;taati;Mina
aega;üllatusi;osalete;Kas;ükskord;pruukida;võib-olla;tahavad
kuskile;nooruslikkust;veab;kolm;laulupeol;lastekoor;ootate;jäeti
On;vihma;no;noori;lihvimiseks;üllatusi;vähe;kõikul
Te;ootan;Kuidas;pärit;jätkate;selged;vähener;Paikuse
iiliti;vanaks;sammu;algasid;vanadega;kahjuks;üksikuid;vananevad
mälestusi;kooriga;tore;mõnus;kuskile;enam-vähem;meeldivaid;iiliti
olemegi;kordusi;oodata;Ulvi;hääl;uusi;tõeline;repertuaari
tore;tunne;ilusat;Mida;kogeda;proovid;tunni;proovid
proovid;laulmist;leian;hääl;tuhinik;tegutsenud;kannavad;pärit
vaja;taati;asi;Räpinas;traditsioon;tahtmine;saatja;tea
kenasti;Laulupidu;algasid;rahvas;käin;tore;vanaks;vanadega
kao;aega;kenasti;tahtmine;kõvasti;rõõmud;lihvimiseks;kao
laulupeoni;nüansse;annab;kuulata;püüame;meespolügoon;võimalused;sammu
rahvas;rahvas;Ja;korda;meespolügoon;Milliseid;Vanade;lastekoori
kannavad;tunnet;Võib-olla;Milliseid;tõeline;rahvuslikust;tunnet;üllatusi
vana;kõikul;vähener;selged;laulupeolt;laulda;ahastuses;tahan
tegelikult;käin;ülikond;vaja;vananevad;tunnet;iiliti;oodata
ajast;kooli;mõnus;100;huvitaksid;kaariste;huvitaksid;Nad
lihvimiseks;võib-olla;kaasa;jalad;lihtsalt;leian;tahtmine;aega
eestlased;käia;kasvavad;pidu;dirigentidelt;uuesti;dirigentidelt;pealtvaatajana
proovite;osalete;nii-öelda;Kuidas;üksikuid;kell;kell;ühislaulmised
aastatel;kujutagi;valikkoorid;koori;kooli;ühine;ajast;aastad
ühine;vähe;14;tundub;pidu;meeskoorile;vanad;käia
vähe;päeva;selged;Vanasti;käia;korda;laulate;mõistetav
Milliseid;oodata;tahan;võetud;Ja;taati;kuigivõrd;tunneb
Aga;huvitaksid;kaovad;käinud;laululavalt;proovi;Kaua;lastekoor
hääl;jõudsime;vaja;kannavad;mõnus;kasvavad;selged;antakse
antakse;hääl;niiviisi;Te;päeva;proovite;Ulvi;algasid
tunnet;litsist;Nagu;Paikuse;pealtvaatajana;vähe;tunneb;tõeline
päeva;kaariste;pealtvaatajana;sammu;laulupeoni;kõvasti;Ei;tore
nooruslikkust;nii-öelda;kindlasti;laulu;kordusi;14;annab;kenasti
laulda;kaasa;lihtsalt;Ei;näha;lastekoori;mõistetav;laulukaare
jätta;proovite;kahjuks;laulda;osalejana;võib-olla;Tere;Kas
visata;jätkate;hingele;kell;tahan;litsist;veab;noored
saatja;vanadega;näha;aastatel;rahvuslikust;ilusat;antakse;proovite
tundsin;vananevad;üllatusi;taati;Laulumeeste;tunne;meeste;Vanade
noori;On;kogeda;meeste;valikkoorid;Laulumeeste;Kas;Räpinas
kaasa;kogeda;No;rõõmud;Te;ülikond;algasid;veab
käia;Ja;iiliti;aasta;aastad;On;kordusi;meespolügoon
pärit;tegutsenud;Mis;kool;laulupidudest;pealtvaatajana;kao;ilusat
No;võimalused;kuigivõrd;12;mõtled;60;Aga;vana
no;no;read;Ja;ühendproov;veab;asi;laululavalt
selged;üldse;tea;jätta;koolipoisist;nüansse;repertuaar;osalejana
ilusat;Paikuse;ootan;14;Mis;Võib-olla;Mina;ühendproov
taati;traditsioon;Aga;eestlased;käinud;esimesed;Mis;kaasa
ootate;aastatel;Paikuse;võimalused;jäeti;kindlasti;varem;laulda
dirigentidelt;Vanade;12;Kaua;Vanade;vähener;;jalad
ootan;Ei;Mida;Nüüd;tahavad;12;Ja;saatja
annab;algasid;ahastuses;aastat;aastatel;ahastuses;Nad;dirigentidelt
uuesti;kahjuks;litsist;See;algasid;ühendproov;jutt;ootate
kell;püüame;käin;aastad;rõõmud;Te;Jah;tahtmine
tunneb;Laulumeeste;Ei;tahavad;14;jutt;hingele;Ulvi
käin;korda;lihvimiseks;Jah;Kuidas;See;tuhinik;hääl
leian;üksikuid;Te;Mina;põhikooli;visata;litsist;hingele
kindlasti;12;taati;Aga;kasvavad;hingele;Te;pruukida
Kas;kannavad;tahavad;tahan;Kas;tõeline;kenasti;kujutagi
kuulata;käinud;saatjaks;Vanade;noori;Ulvi;12;nüansse
Kaua;lihtsalt;kõvasti;60;Ulvi;võimalused;14;vanad
korda;visata;Nad;tea;Laulupidu;üksikuid;tahan;meeldivaid
proovi;100;pruukida;kaasa;60;läbimärjaks;60;laulupeolt
varasematest;Nüüd;Tere;asi;Tere;dirigentidelt;leian;üksikuid
varasemast;mälestusi;kolm;lapsed;12;iiliti;See;laulate
algasid;näha;huvitaksid;kao;Räpinas;kolm;tore;võetud
litsist;jätta;Mina;;eestlased;valikkoorid;100;vanaks
tea;mõnus;On;tore;Paikuse;read;On;Vanasti
Ei;varasemast;ootate;On;Jah;Laulupidu;read;kuigivõrd
laulmist;esimesed;kujutagi;No;Vanasti;100;visata;ahastuses
esimesed;jäeti;tahtmine;Mis;Mida;jalad;nüansse;selged
meeldivaid;varasematest;läbimärjaks;kooriga;Nagu;tuhinik;No;laulmist
kogeda;60;Kaua;read;Kaua;tea;tea;Võib-olla
oodata;antakse;See;Nad;Mina;vihma;no;tähendab
