EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,3,3,3,4,1,1,1,2,12,nõukogude; koostöö; energia; brigaad
2,3,3,3,4,1,1,1,2,12,nõukogude; koostöö; energia; brigaad
2,3,3,3,4,1,1,1,2,12,nõukogude; koostöö; energia; brigaad
2,3,3,3,4,1,1,1,2,12,nõukogude; koostöö; energia; brigaad
2,3,3,3,4,1,1,1,2,12,nõukogude; koostöö; energia; brigaad
2,3,3,3,4,1,1,1,2,12,nõukogude; koostöö; energia; brigaad
2,3,3,3,4,1,1,1,2,12,nõukogude; koostöö; energia; brigaad
2,3,3,3,4,1,1,1,2,12,nõukogude; koostöö; energia; brigaad
2,3,3,3,4,1,1,1,2,12,nõukogude; koostöö; energia; brigaad
2,3,3,3,4,1,1,1,2,12,nõukogude; koostöö; energia; brigaad
2,3,3,3,4,1,1,1,2,12,nõukogude; koostöö; energia; brigaad
