EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,2,2,1,2,1,3,4,0,11,sihtrühm; kuritegevus; kristjan; epideemia; port
4,2,2,1,2,1,3,4,0,11,sihtrühm; kuritegevus; kristjan; epideemia; port
4,2,2,1,2,1,3,4,0,11,sihtrühm; kuritegevus; kristjan; epideemia; port
4,2,2,1,2,1,3,4,0,11,sihtrühm; kuritegevus; kristjan; epideemia; port
4,2,2,1,2,1,3,4,0,11,sihtrühm; kuritegevus; kristjan; epideemia; port
4,2,2,1,2,1,3,4,0,11,sihtrühm; kuritegevus; kristjan; epideemia; port
2,2,1,0,2,2,3,4,0,11,sihtrühm; kuritegevus; kristjan; epideemia; port
4,2,1,4,2,2,3,4,0,11,kuritegevus; kristjan; epideemia; port; sihtrühm
3,2,3,3,3,1,3,4,0,11,kuritegevus; kristjan; epideemia; port; sihtrühm
3,2,2,3,3,1,3,5,0,11,kuritegevus; kristjan; epideemia; port; sihtrühm
2,3,2,2,3,1,3,4,1,11,kuritegevus; kristjan; epideemia; port; sihtrühm
