EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,5,9,5,4,6,7,4,13,kadri-ann; karl; sagrits; heino; mereröövel; silver; hobune; väli; ükssilm; admiral
7,6,5,9,5,4,6,7,4,13,kadri-ann; karl; sagrits; heino; mereröövel; silver; hobune; väli; ükssilm; admiral
7,6,5,9,5,4,6,7,4,13,kadri-ann; karl; sagrits; heino; mereröövel; silver; hobune; väli; ükssilm; admiral
7,6,5,9,5,4,6,7,4,13,kadri-ann; karl; sagrits; heino; mereröövel; silver; hobune; väli; ükssilm; admiral
7,6,5,9,5,4,6,7,4,13,kadri-ann; karl; sagrits; heino; mereröövel; silver; hobune; väli; ükssilm; admiral
7,6,5,9,5,4,7,7,4,13,kadri-ann; karl; sagrits; heino; mereröövel; silver; hobune; väli; ükssilm; admiral
6,6,5,9,5,6,7,7,4,13,kadri-ann; karl; sagrits; heino; mereröövel; silver; hobune; väli; ükssilm; admiral
6,6,5,8,5,6,8,7,4,13,kadri-ann; karl; sagrits; heino; mereröövel; silver; hobune; väli; ükssilm; admiral
6,7,5,6,5,6,8,7,4,13,hobune; kadri-ann; karl; sagrits; mereröövel; silver; heino; väli; ükssilm; admiral
6,7,5,7,5,7,8,7,6,13,hobune; admiral; kadri-ann; karl; sagrits; mereröövel; silver; heino; väli; ükssilm
7,7,6,6,6,7,8,7,6,13,admiral; kadri-ann; karl; sagrits; heino; silver; hobune; väli; ükssilm; mereröövel
