EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,6,7,6,3,6,8,5,14,senjoriita; televisiooni; kanada; donald; kasekamp; aasta; hääl; andres; trump; jäähoki
6,7,6,7,6,3,6,8,5,14,senjoriita; televisiooni; kanada; donald; kasekamp; aasta; hääl; andres; trump; jäähoki
6,7,6,7,6,3,6,8,5,14,senjoriita; televisiooni; kanada; donald; kasekamp; aasta; hääl; andres; trump; jäähoki
6,7,6,7,6,3,6,8,8,14,senjoriita; televisiooni; kanada; donald; kasekamp; aasta; hääl; andres; trump; jäähoki
6,7,6,7,6,3,6,8,8,14,senjoriita; televisiooni; kanada; donald; kasekamp; aasta; hääl; andres; trump; jäähoki
6,7,6,7,6,3,6,8,8,14,senjoriita; televisiooni; kanada; donald; kasekamp; aasta; hääl; andres; trump; jäähoki
6,7,7,6,6,3,6,8,8,14,senjoriita; televisiooni; kanada; donald; kasekamp; aasta; hääl; andres; trump; jäähoki
5,7,7,7,6,3,6,8,8,14,senjoriita; televisiooni; kanada; donald; kasekamp; aasta; hääl; andres; trump; jäähoki
6,7,7,8,6,4,4,8,8,14,senjoriita; televisiooni; kanada; donald; kasekamp; aasta; hääl; andres; trump; jäähoki
6,6,7,9,6,5,4,7,8,14,senjoriita; televisiooni; kanada; donald; kasekamp; aasta; hääl; andres; trump; jäähoki
6,7,9,9,7,6,4,7,9,14,senjoriita; televisiooni; kasekamp; hääl; andres; kanada; donald; aasta; trump; jäähoki
