EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,8,5,6,4,3,4,7,6,13,thomas; tehnoloogia; blogi; kristjan; watson; port; mõtle; suurelt; arvuti; arvutipark; google
5,8,5,6,4,3,4,7,6,13,thomas; tehnoloogia; blogi; kristjan; watson; port; mõtle; suurelt; arvuti; arvutipark; google
5,8,5,6,4,3,4,7,6,13,thomas; tehnoloogia; blogi; kristjan; watson; port; mõtle; suurelt; arvuti; arvutipark; google
5,8,5,6,4,3,4,7,6,13,thomas; tehnoloogia; blogi; kristjan; watson; port; mõtle; suurelt; arvuti; arvutipark; google
5,8,5,6,4,3,4,7,6,13,thomas; tehnoloogia; blogi; kristjan; watson; port; mõtle; suurelt; arvuti; arvutipark; google
6,8,6,6,4,3,4,7,6,13,thomas; tehnoloogia; blogi; kristjan; watson; port; mõtle; suurelt; arvuti; arvutipark; google
7,7,6,6,4,3,4,9,6,13,thomas; blogi; kristjan; watson; port; mõtle; arvutipark; tehnoloogia; suurelt; arvuti; google
7,7,7,4,4,3,4,8,6,13,thomas; blogi; kristjan; watson; port; mõtle; arvutipark; tehnoloogia; suurelt; arvuti; google
7,9,6,7,5,3,3,8,6,13,thomas; blogi; kristjan; watson; port; mõtle; arvutipark; tehnoloogia; suurelt; arvuti; google
6,7,5,7,5,3,5,8,6,13,thomas; blogi; kristjan; watson; port; mõtle; arvutipark; tehnoloogia; suurelt; arvuti; google
6,8,6,6,7,2,3,7,8,13,thomas; blogi; kristjan; watson; port; mõtle; arvutipark; tehnoloogia; suurelt; arvuti; google
