EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,4,1,5,0,7,7,7,0,14,rästas; keiu; võõras; peeter; lavastaja; urmas; virro; vadi
7,4,1,5,0,7,7,7,0,14,rästas; keiu; võõras; peeter; lavastaja; urmas; virro; vadi
7,4,1,5,0,7,7,7,0,14,rästas; keiu; võõras; peeter; lavastaja; urmas; virro; vadi
7,4,1,5,0,7,7,7,0,14,rästas; keiu; võõras; peeter; lavastaja; urmas; virro; vadi
7,4,1,5,0,7,7,6,0,14,rästas; keiu; võõras; peeter; lavastaja; urmas; virro; vadi
7,3,1,5,0,7,7,6,0,14,rästas; keiu; võõras; peeter; lavastaja; urmas; virro; vadi
3,2,2,5,0,8,4,6,0,14,keiu; rästas; võõras; lavastaja; peeter; urmas; virro; vadi
3,2,5,3,0,6,5,6,0,14,rästas; keiu; võõras; peeter; lavastaja; urmas; virro; vadi
3,0,4,2,0,7,4,6,0,14,keiu; rästas; võõras; peeter; lavastaja; urmas; virro; vadi
2,3,5,2,0,4,4,6,0,14,keiu; rästas; võõras; lavastaja; peeter; urmas; virro; vadi
3,1,3,2,0,5,4,7,2,14,rästas; keiu; võõras; peeter; lavastaja; urmas; virro; vadi
