EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,4,6,3,1,6,6,3,4,10,ladina-ameerika; superstaar; muusika; tütar; kong; bänd; kuuba; gloria
2,3,5,3,1,7,6,3,4,10,ladina-ameerika; superstaar; muusika; tütar; kong; bänd; kuuba; gloria
2,4,5,3,1,6,5,3,4,10,ladina-ameerika; superstaar; muusika; tütar; kong; bänd; kuuba; gloria
2,4,3,3,1,6,6,3,4,10,ladina-ameerika; superstaar; muusika; tütar; kong; bänd; kuuba; gloria
2,5,4,3,2,5,5,3,4,10,ladina-ameerika; superstaar; muusika; tütar; räpp; kong; bänd; kuuba; gloria
2,5,5,3,3,3,5,4,4,10,ladina-ameerika; superstaar; muusika; tütar; räpp; kong; bänd; kuuba; gloria
2,5,5,4,3,3,4,2,3,10,ladina-ameerika; superstaar; muusika; tütar; räpp; kong; bänd; kuuba; gloria
2,4,3,4,4,4,4,2,4,10,ladina-ameerika; superstaar; muusika; tütar; räpp; kong; bänd; kuuba; gloria
2,3,3,5,4,2,5,2,3,10,ladina-ameerika; superstaar; muusika; tütar; räpp; kong; bänd; kuuba; gloria
4,2,2,4,4,2,4,3,4,10,ladina-ameerika; superstaar; muusika; tütar; räpp; kong; bänd; kuuba; gloria
3,3,2,4,5,2,4,3,4,10,ladina-ameerika; superstaar; muusika; räpp; kong; bänd; kuuba; gloria
