EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,3,4,0,3,3,4,2,2,15,süsteem; eesti; laen; jaan; hägusus; keel; kaplinski
2,3,3,0,3,3,4,2,2,15,süsteem; eesti; laen; jaan; hägusus; keel; kaplinski
2,2,3,0,3,4,4,2,2,15,süsteem; eesti; laen; jaan; hägusus; keel; kaplinski
2,2,1,0,2,4,3,2,2,15,süsteem; eesti; laen; jaan; hägusus; keel; kaplinski
1,1,2,0,2,4,4,4,2,15,eesti; laen; keel; jaan; hägusus; süsteem; kaplinski
1,3,3,1,2,5,4,4,2,15,eesti; laen; jaan; keel; hägusus; süsteem; kaplinski
1,3,1,1,2,4,4,1,2,15,eesti; laen; jaan; keel; hägusus; süsteem; kaplinski
1,3,0,2,2,5,4,0,2,15,süsteem; eesti; laen; jaan; hägusus; keel; kaplinski
3,3,2,3,4,5,4,2,3,15,eesti; laen; jaan; keel; hägusus; süsteem; kaplinski
2,1,0,2,3,5,4,1,2,15,süsteem; eesti; laen; jaan; keel; kaplinski
1,2,1,1,3,4,4,1,1,15,süsteem; eesti; laen; jaan; keel; kaplinski
