EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,6,6,3,8,6,5,6,5,12,lugu; inglise; ansambel; seen; album; stuudio; eesti; šokolaad; raadio; plaat; queen
9,6,6,3,8,6,5,6,5,12,lugu; inglise; ansambel; seen; album; stuudio; eesti; šokolaad; raadio; plaat; queen
9,6,7,3,8,6,5,6,5,12,lugu; inglise; ansambel; seen; album; stuudio; eesti; šokolaad; raadio; plaat; queen
9,6,7,4,8,7,7,6,5,12,lugu; inglise; ansambel; seen; album; stuudio; eesti; šokolaad; raadio; plaat; queen
8,5,7,4,9,7,7,8,5,12,lugu; inglise; ansambel; seen; album; stuudio; eesti; šokolaad; raadio; plaat; queen
6,4,6,4,9,6,9,8,5,12,lugu; inglise; ansambel; seen; album; stuudio; eesti; šokolaad; raadio; plaat; queen
6,4,7,8,9,5,5,8,5,12,lugu; inglise; ansambel; seen; album; stuudio; eesti; šokolaad; raadio; plaat; queen
5,4,6,8,9,5,7,8,5,12,lugu; inglise; ansambel; seen; album; stuudio; eesti; šokolaad; raadio; plaat; queen
5,4,7,8,9,5,7,8,5,12,lugu; inglise; ansambel; seen; album; stuudio; eesti; šokolaad; raadio; plaat; queen
3,4,6,7,8,5,7,7,5,12,stuudio; queen; eesti; šokolaad; raadio; lugu; album; inglise; plaat; seen; ansambel
3,6,6,7,7,5,7,7,5,12,stuudio; queen; eesti; šokolaad; raadio; lugu; album; inglise; plaat; seen; ansambel
