EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,6,2,1,3,2,6,4,11,töö; tennis; jooksma; liikuma; pension; doktor; tervis; laur; noor
4,5,6,2,1,3,2,6,4,11,töö; tennis; jooksma; liikuma; pension; doktor; tervis; laur; noor
4,5,6,2,1,3,2,6,4,11,töö; tennis; jooksma; liikuma; pension; doktor; tervis; laur; noor
4,5,6,2,1,3,2,6,4,11,töö; tennis; jooksma; liikuma; pension; doktor; tervis; laur; noor
4,5,6,2,1,3,2,6,4,11,töö; tennis; jooksma; liikuma; pension; doktor; tervis; laur; noor
4,6,6,2,1,3,4,6,4,11,töö; tennis; jooksma; liikuma; pension; doktor; tervis; laur; noor
5,5,6,2,1,7,4,7,4,11,töö; tennis; jooksma; liikuma; pension; doktor; tervis; laur; noor
5,5,6,4,1,5,5,6,4,11,töö; tennis; jooksma; liikuma; pension; doktor; tervis; laur; noor
4,5,7,3,3,5,5,5,4,11,töö; tennis; jooksma; liikuma; pension; doktor; tervis; laur; noor
4,3,7,4,3,6,5,7,4,11,töö; tennis; jooksma; liikuma; pension; doktor; tervis; laur; noor
6,5,8,4,3,5,6,7,3,11,töö; tennis; jooksma; liikuma; pension; doktor; tervis; laur; noor
