EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,5,5,4,7,7,7,6,10,töö; vabadus; varandus; kompenseerima; õigus; kolhoos; talu
6,5,5,5,5,7,7,7,6,10,töö; vabadus; varandus; kompenseerima; õigus; kolhoos; talu
6,5,5,5,5,7,7,7,6,10,töö; vabadus; varandus; kompenseerima; õigus; kolhoos; talu
6,5,5,5,5,7,7,7,6,10,töö; vabadus; varandus; kompenseerima; õigus; kolhoos; talu
6,5,5,5,5,7,7,7,6,10,töö; vabadus; varandus; kompenseerima; õigus; kolhoos; talu
6,5,5,5,5,7,7,7,6,10,töö; vabadus; varandus; kompenseerima; õigus; kolhoos; talu
6,5,5,5,5,7,7,7,6,10,töö; vabadus; varandus; kompenseerima; õigus; kolhoos; talu
6,5,5,5,5,7,7,7,6,10,töö; vabadus; varandus; kompenseerima; õigus; kolhoos; talu
6,5,5,5,5,7,7,7,6,10,töö; vabadus; varandus; kompenseerima; õigus; kolhoos; talu
6,5,5,5,5,7,7,7,6,10,töö; vabadus; varandus; kompenseerima; õigus; kolhoos; talu
6,5,5,5,5,7,7,7,6,10,töö; vabadus; varandus; kompenseerima; õigus; kolhoos; talu
