EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,5,5,4,5,4,6,4,11,plaat; agent; raadio; ansambel; album; šokolaad; stuudio; lugu; queen
6,6,5,5,4,5,4,6,4,11,plaat; agent; raadio; ansambel; album; šokolaad; stuudio; lugu; queen
6,6,5,5,4,5,4,6,4,11,plaat; agent; raadio; ansambel; album; šokolaad; stuudio; lugu; queen
6,6,6,5,4,5,4,6,4,11,plaat; agent; raadio; ansambel; album; šokolaad; stuudio; lugu; queen
6,6,4,5,4,5,4,5,4,11,plaat; agent; raadio; ansambel; album; šokolaad; stuudio; lugu; queen
7,6,7,5,4,5,6,6,4,11,plaat; agent; raadio; ansambel; album; šokolaad; stuudio; lugu; queen
7,5,7,6,4,7,6,6,4,11,plaat; agent; raadio; ansambel; album; šokolaad; stuudio; lugu; queen
4,6,7,5,4,7,6,6,4,11,plaat; agent; raadio; ansambel; album; šokolaad; stuudio; lugu; queen
5,7,5,5,5,7,7,6,4,11,plaat; agent; raadio; ansambel; album; šokolaad; stuudio; lugu; queen
6,5,7,5,6,7,7,8,4,11,plaat; agent; raadio; ansambel; album; šokolaad; stuudio; lugu; queen
8,6,6,6,6,6,7,7,4,11,plaat; agent; raadio; ansambel; album; šokolaad; stuudio; lugu; queen
