EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,9,4,7,6,3,5,3,8,11,füüsika; telekas; valgus; marek; strandberg; elektron; laine; analoogantenn; signaal
7,9,4,7,6,3,5,3,8,11,füüsika; telekas; valgus; marek; strandberg; elektron; laine; analoogantenn; signaal
7,9,4,7,6,3,5,3,8,11,füüsika; telekas; valgus; marek; strandberg; elektron; laine; analoogantenn; signaal
7,9,4,7,6,3,5,3,8,11,füüsika; telekas; valgus; marek; strandberg; elektron; laine; analoogantenn; signaal
7,9,4,7,6,3,5,3,8,11,füüsika; telekas; valgus; marek; strandberg; elektron; laine; analoogantenn; signaal
7,9,4,7,6,3,5,3,8,11,füüsika; telekas; valgus; marek; strandberg; elektron; laine; analoogantenn; signaal
7,9,4,7,6,3,5,3,8,11,füüsika; telekas; valgus; marek; strandberg; elektron; laine; analoogantenn; signaal
7,9,4,7,6,3,5,3,8,11,füüsika; telekas; valgus; marek; strandberg; elektron; laine; analoogantenn; signaal
7,9,4,7,6,3,5,3,8,11,füüsika; telekas; valgus; marek; strandberg; elektron; laine; analoogantenn; signaal
7,9,4,7,6,3,5,3,8,11,füüsika; telekas; valgus; marek; strandberg; elektron; laine; analoogantenn; signaal
7,9,4,7,6,3,5,3,8,11,füüsika; telekas; valgus; marek; strandberg; elektron; laine; analoogantenn; signaal
