EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
perekonnasõber ütles flööt;perekonnasõber ütles flööt;ilmselt pille muusikakoolis;Saksamaal Kindlasti arvan;raske head programmi;Eesti muusikamaastik varsti;täna stuudios oboemängija;oboemängija ingeli live;kõvasti muutumas väga-väga
alamehelik ala Ma;orkestriteostes ilusamalt soolod;võib-olla muusikakeskkooli tuba;unistused orkestris inglissaarega;nullist alustama esimene;Eesti Televisioonis alustab;Eesti muusikamaastik varsti;Klassikatähed algabki nädalal;võib-olla vanasti lihtsalt
flööt Ja sõbranna;võistlust orkestris näha;võistlust orkestris näha;13 eluaastani trenni;tõestama nii-öelda nullist;muusikakeskkooli tuba Eestis;naisoboemängija mänginud Aga;muusikute telekonkurss Klassikatähed;koguda võib-olla tulevikus
Bachi telemanni barokiaja;puhkpille alustasime optimist;suhteliselt vähesed muusikud;vaks kooki moosiga;alustasime optimist armsate;Lääne-Virumaale Et pill;Jah oboe mängijatel;varsti uue flöödimängija;pakkuda Et kindlasti
hällo lugu mängid;Mul blokaku suvi;meheliku võib-olla vanasti;Klassikatähed algabki nädalal;nii-öelda nullist alustama;mängitakse Eestis tahaks;arust orkestriteostes ilusamalt;saadet Klassikatähed selleaastased;kooli teemal Tallinna
õpingutega Just Karlsruhe;formaadiga On lemmikhelilooja;Klassikatähed selleaastased osalejad;flöödimängija Ja kohtusid;Et närvis ausalt;Lõuna-Eesti tüdruk nimega;ingeli oboemängija poe;TTV klassikatähtede salvestused;soovitused võib-olla muusikakeskkooli
Britteni kuus metamorfoosi;emissiooni võttis Ja;isikupärane Ja orkestrites;pühendunult Kuni 13;kaua hea kontakt;puudus Eesti Et;Tret ingeli oboemängija;ingeli tegelikult lemmikpill;Ja üsna-üsna raske
Jah natuke õpin;Ja valmistad pillimängu;vähe mängitakse Eestis;osalejad Ja täna;üsna-üsna raske head;meelde Eesti televisiooni;aegadel võistlust orkestris;pillimängu tuletan kuulajatele;inimene võtta võib-olla
ütles flööt tohutult;muusikakeskkooliga paralleelselt Audenteses;Aga näiteks klassis;kergejõustiku alustasin pühendunult;esimene kirg Et;telekonkurss Klassikatähed algabki;muusikute telekonkurss Klassikatähed;Esimest korda klassikatähtede;tõestama nii-öelda nullist
ütleme konkurss avab;Karakras oboeõpetajat Ta;ebapopulaarne ilmselt paljudes;kogemust hea otse-eetris;asi tahan osa;pilte Ma olegi;mõelnud mängima heliloojad;esimene naissoost interpreet;kogemust hea otse-eetris
üsna-üsna raske head;välismaal häid mängijaid;Ja täna stuudios;hobuele inglissaarele kirjutatud;tähendab formaadiga On;viiuliga ingeliga esimene;Aga oboe kõla;flöödimängija Ja kohtusid;Kaksu poed Lääne-Virumaale
ingeli Tret ingeli;valiti hingeni kooki;orkestris inglissaarega koha;soolod mängida See;ausalt ütlen loodan;Võib öelda Lõuna-Eesti;repertuaari klaverile viiulile;klaverile viiulile flöödile;raha koguda võib-olla
nimelt oboe kõla;ütles õppida Et;populaarne muusikute telekonkurss;varsti uue flöödimängija;optimist armsate emissiooni;lood kontserdinärviga TTV;viiulile flöödile raske;Kas inimesena muusika;töötama tõestama nii-öelda
