EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
spiil Hermaküla Tooming;kaasa arvatud psühhoanalüüs;Tallinna koolipoistelt õppisime;igavest teatrit lugenud;noorem noorem pannakse;Tallinna sõbranna kooliaegne;vana tuttav Kes;Peeter Tulviste Loengu;tegelikult puna-valge üldse
õppejõud loenguid neidki;identiteeditekstid keerulised Ja;töötas tollal Vanemuisel;sõitsid kolme nelja;tekst võrreldav funktsiooni;intervjuud Kaas Ma;pedagoog istub väga-väga;Ingo Normet Peeter;See võib-olla olulisem
Tallinna Tartut vastandada;võib-olla ajakirjas Aga;10 klassi talvevaheajal;norima rääkima Doktor;asi nimi kompleksne;Tere õhtust Siia;teatri väikses saalis;Potteri lõpp Pealkiri;kirjanduses printsiip mängima
rääkida See aeg;tähelepanuga unistab Ja;Aga kogemus lõpetasin;lausumata andsime 50;eine istuti maha;mööbist tutvusime kolmeaastased;nimi kirjandusala juhataja;õhtust Siia Karepale;enam-vähem teada erialateadvuses
raamatukogusid huvi pakkuma;kinni Leningradis raudteejaama;Ja pidev dokumenteerimine;Ta seletama paneb;kasutada vormi vormi;lavastasin aasta Draamateatris;Eprose lavastused tegelikult;fantaasia reaalsus Vaino;10 aastat elus
huvitab kuus intervjuud;piletita sõitsid Ja;Nendel kolmapäeva õhtu;Ja hoidsime raha;samamoodi dokumentatsioon avaldab;romantika kuulub üliõpilased;leksikoni ainukene inimene;1972 Me kirjutasime;-te lõpus seitsmekümnendatel
raudteesildu masin raudteed;jäävad trepile fantaseerivad;väike ventilaator pisikene;vaata saunas vilistab;arvutada maksis Sa;väga-väga vana tuttav;Võib-olla klassitsistlik ajastu;lõpetasin Moskvas teatrikooli;kolme nelja päevaga
asjad kaugemasse ajalukku;käisime talvevaheajal korra;No tore üliõpilaspõlve;kirjutusmasin toksimis Masin;iseloomustamiseks hulk võimalusi;kooliaegne Pegasuse ütles;kahe trolliga trammiga;CV'ga nõukogudeaegseks kaadriarvestuslehega;71 Lugesin väikseid
sündida tunne jälle;asja inimestel Pealt;suu kinni kõndis;korda üldse kohtusse;aeg supi supis;Anatoli Jefros õpetaja;mööbist tutvusime kolmeaastased;Juhan Luiga tekstid;üldistusi näitab vaimsust
ajal kaks tugevat;korra Tartus vaatasime;mõttemaailma erinevust Maimu;väärtus Ta hoiab;tollal protest mustvalge;natuke teadsin Peeter;tants vahetasid segadus;pealkiri suvekool Igatahes;erinevalt intervjuud erinevad
aegseid kirjanike leksikoni;Leningradi psühhiaater räägitud;Tulviste Ingo Normet;sobinovskil Trifonov Karoli;ukse vilistada naerame;istuti maha Jaketi;õhtu küünlavalgusõhtu kolmapäeviti;Ei kirjutas romaanid;revolutsioon Ka psühhoanalüüs
helistatakse telefoniga ajal;Kirjanike Liidu liikmeks;meelde Leningradi psühhiaater;naguniisuguseks See võib-olla;otse väljendada väljendada;viisil jätkata kontakti;Ma arvan Enne;Tartu üldse Eesti;kirjandusse eesti kirjandusse
hiljem ainuke asi;vaatamas See etendus;Teisest raskes olukorras;paneb liiprid paneb;materjale hangiti materjale;showl Špiinl Nov;rolli täitis Pavlovi;Minu põhimõte Jaan;kirjandusse 60 -te
vaataksin natukene seisukohast;Ta võttis otse;üksinda linna toime;Heiti Kadastiku Ja;Kui ekstramaalsed situatsiooni;tants vahetasid segadus;kaks tugevat režissööri;poeetiline visioon Kuidas;sünnib lapsepõlves olulist
