EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
;rahvamuusikasoove;raadiokuulajatele;tähendab;;kuulajatelt;muusikasaadetele;raadiost;tegemisest
atsconi;raadioinimesed;rahvamuusikasoove;tegemisest;;kohtumiseni;kalurimuusika;kuulajatelt;viis
täiskomplekt;kohtades;raadiokuulajad;viieliikmelise;defineeriksin;kohtumisõhtut;muusikasaadete;raadiol;uuesti
gauces;tiksidend;lauljatele;raadioinimesed;head;raadiokuulajatele;orkestripille;lemmiklaul;lumme
tiksidend;tallinna;muusikategijatest;sõitsime;andi;kohtumisõhtule;muusikale;meesansambli;tõime
külalisstuudio;armastatakse;muusikasaadete;loeksid;ornament;puhkpilliorkester;muusikalises;raadios;aja
helirežissöör;maa;muusikasaadetele;haripunktil;nsv-s;esinejaid;muusikas;kalurimuusika;võistkondadele
viveegaaweedurillija;isetegevuskollektiivid;orkestrile;püügilaevadel;seen;orkestripille;muusikalist;kalorilauludele;joala-le
väljapüügiarv;muutuvad;kuulajatelt;tegelevad;vale;rahvalaule;muusikaga;raadiokuulajatele;võistkonnale
mälumäng-viktoriin;viitsinud;orkester;trükiviga;anname;kuulajad;muusikategijatest;rahvalaule;eesti
kalurikolhoosivõistlus;veetud;helilõike;trükikoda;vastavalt;kuulmiseni;muusikalise;muusikasaadete;teada
lauluvõistlused;keelpillipuhkpilliv;orkestripille;peedeeess;toredate;muusikasaadetele;rahvamuusikasoove;muusikasaadetele;eestis
spordimetoodika;väike;orkestri;kalurikolhoosile;arvasin;puhkpilliorkestrimarsiga;orkestrile;raadiomajja;armastatakse
võistlus;lõpp;helisevad;lugupeetud;tähendab;helsingi;muusikaliste;rahvamuusikasoove;rääkige
helilint;heli;raadiost;näide;meest;õhtust;muusikat;raadioinimesed;võtame
paadipüügitulemust;orkestrile;lauluvõistlused;populaarsemaid;nurme;kontserdist;puhkpilliorkester;kontserdist;öelda
küsimused;huumoripunkti;helioperaator;ookeanile;oboed;häälitses;puhkpilliorkestrimarsiga;viveegaaweedurillija;12
lauttingismi;liikmed;kuulajad;aprillinaljast;remo-s;kõrvust;orkestris;raadio;muusika
järjekord;dts-i;hääli;vanemtoimetaja;sand;rahvamuusikasoove;estraadiorkester;raadiot;tead
famiilitonali;kalamees;hääled;venekeelsest;tore;võõrustajad;orkester;kuulamisest;hästi
miniviktoriin;famiilitonali;rahvalaule;kalurimuusika;anti;estraadiorkester;orkestri;lauljatele;esmakordsel
fonoteegi;sand;muusikaliste;ükstaspuha;kodust;kuules;solist;kõlama;püüdnud
varietee;inimene;muusikalise;joonise;ehme;kõlama;kuulajatelt;kuulajad;ajal
kodumuusika;kokkulepe;muusikaline;ebavõrdsete;punktide;õhtul;muusikaline;kõlaks;muusikaline
küsimus;ainuke;kontserdist;põhiline;ima;muusikaliste;kuulanud;kuulab;14
ornament;;muusikalises;paadipüügitulemust;toore;õhtu;kuulajad;kuulanud;paha
kalurimuusika;seaneerud;häält;tegelikult;punkti;kohtusite;kuulmiseni;raadiokuulajad;victoria
levinuma;lõõtstrumm;õhtust;kaotajaid;inimene;raadiokuulajad;lauljatele;hääled;1938
põhiline;öelda;muusikalist;mängisid;meenutad;paluti;kontserdist;estraadikontsertidega;aeg
järeldus;mõeldakse;raadioinimesed;öeldakse;teate;ansamblile;muusika;kalurikolhoosivõistlus;maarika
nsv-s;kohtumisõhtut;esinejaid;üldse;jahtimisel;eestis;kohtumiseni;külalisstuudio;pikkus
dts-i;punkti;orkestris;raadio;taas;tänala;laulsid;kalurikolhoosi;antud
kyljest;naisansambli;kõrvaga;etiketil;näidata;esinemiseks;tänala;puhkpilliorkester;ongi
ütleksin;külalisstuudio;heli;raadiol;otsustada;toredate;häält;kuulsite;võib-olla
keelpillipuhkpilliv;oboed;muusikaga;lähtudes;lumme;solist;täna;kolhoosile;töötab
küsimust;tänala;raadio;noorega;koju;tallinna;kuulab;kolhoosil;pakkuda
redubera;kohtumisõhtule;solist;sõpruse;parem;heliliselt;võõrustajad;kolhooseni;kõrguses
kõrguses;hiljuti;muusikale;saates;punktis;muusikalist;kuulata;laulsid;vahe
küsimuse;ajada;õhtu;kontserdist;sisustamiseks;jutuajamiseks;hääli;rääkisime;lihtsalt
öeldakse;kalorid;küsimused;väljapüügiarv;mehed;raadioinimesed;kodumuusika;kolhoosi;milja
trumboonid;lolli;kuulamisest;žanreimost;korda;muusikale;mikrofon;keelpillipuhkpilliv;klubi
prosotsiaalsed;traditsiooni;õhtul;keskmine;kindlasti;tutvustan;kuuletan;kohtumisõhtule;võistlus
pasunapoiste;uusi;helirežissöör;populaarsemaks;kuulub;ellerheinatoimetaja;helilõike;muusikalist;kazaagita
võistkondadele;töö;klubis;ellerheinatoimetaja;plusspunkt;esinenud;häälitses;esinejaid;üldse
murmanskis;;helilint;raadiokuulajad;uskuma;saingi;laulu;helilõike;1945
tänavellimistest;lõõts;kollektiiv;võrdlemisi;veerand;põldsani;pidulikku;puhkpilliorkestrimarsiga;koit
väljapüük;vett;heliliselt;nägi;arvan;esinemas;hääled;kuules;vett
