EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,11,11,11,12,12,12,12,12,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; jumala; kolmas; peetruse
12,11,11,11,12,12,12,12,12,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; jumala; kolmas; peetruse
12,11,11,11,12,12,12,12,12,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; jumala; kolmas; peetruse
12,11,11,10,12,12,11,12,12,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; jumala; kolmas; peetruse
12,11,11,10,12,12,11,12,12,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; jumala; kolmas; peetruse
12,11,12,11,12,11,11,12,12,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; jumala; kolmas; peetruse
12,11,11,11,12,11,11,12,12,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; jumala; kolmas; peetruse
12,11,11,11,12,11,11,10,12,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; jumala; kolmas; peetruse
11,11,11,12,12,11,11,10,12,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; jumala; kolmas; peetruse
11,11,11,12,11,11,11,12,12,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; jumala; kolmas; peetruse
11,11,11,12,11,10,10,12,12,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; jumala; kolmas; peetruse
