EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,4,4,5,5,4,4,5,10,koit; valgusandja; faehlmann; hämarik; vanaisa
5,5,4,4,5,5,4,4,5,10,koit; valgusandja; faehlmann; hämarik; vanaisa
5,5,5,4,5,5,4,4,5,10,koit; valgusandja; faehlmann; hämarik; vanaisa
5,5,4,4,5,4,4,4,5,10,koit; valgusandja; faehlmann; hämarik; vanaisa
5,4,4,4,5,3,4,4,5,10,koit; valgusandja; faehlmann; hämarik; vanaisa
5,5,4,4,5,4,4,5,5,10,koit; valgusandja; faehlmann; hämarik; vanaisa
4,5,4,5,5,4,4,5,5,10,koit; valgusandja; faehlmann; hämarik; vanaisa
4,4,4,5,4,4,3,5,5,10,koit; valgusandja; faehlmann; hämarik; vanaisa
2,5,3,4,3,4,4,5,4,10,koit; valgusandja; faehlmann; hämarik; vanaisa
1,3,4,4,3,4,4,5,4,10,koit; valgusandja; faehlmann; hämarik; vanaisa
1,3,4,4,3,4,4,5,4,10,koit; valgusandja; faehlmann; hämarik; vanaisa
