EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,6,8,6,4,4,4,4,4,11,jooksma; aeg; raadiomaja; seljakott; korrus; madis; sportlane; aesma; tuletõrje; plaat
9,5,6,6,4,3,3,4,4,11,jooksma; aeg; raadiomaja; seljakott; korrus; madis; sportlane; aesma; tuletõrje; plaat
9,6,5,6,4,3,2,2,4,11,jooksma; aeg; raadiomaja; seljakott; korrus; madis; sportlane; aesma; tuletõrje; plaat
9,6,5,6,4,5,3,2,4,11,jooksma; aeg; raadiomaja; seljakott; korrus; madis; sportlane; aesma; tuletõrje; plaat
8,4,4,6,4,6,4,3,5,11,jooksma; aeg; raadiomaja; seljakott; korrus; sportlane; madis; aesma; tuletõrje; plaat
9,4,5,6,5,5,6,7,5,11,jooksma; aeg; raadiomaja; seljakott; korrus; madis; sportlane; aesma; tuletõrje; plaat
9,4,6,6,6,4,5,7,5,11,jooksma; aeg; raadiomaja; seljakott; korrus; madis; sportlane; aesma; tuletõrje; plaat
8,3,6,5,6,6,5,5,5,11,jooksma; aeg; raadiomaja; seljakott; korrus; sportlane; madis; aesma; tuletõrje; plaat
7,5,5,4,6,7,4,6,6,11,jooksma; aeg; raadiomaja; seljakott; korrus; sportlane; madis; aesma; tuletõrje; plaat
8,4,6,6,7,7,4,7,8,11,jooksma; aeg; raadiomaja; seljakott; korrus; sportlane; madis; aesma; tuletõrje; plaat
7,4,7,6,7,6,5,8,5,11,jooksma; aeg; raadiomaja; seljakott; korrus; sportlane; madis; aesma; tuletõrje; plaat
