EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,1,0,1,0,3,3,2,1,12,regivärss; indoeuroopa; keel; sõna; rahvakeel
3,1,0,0,1,3,3,2,1,12,regivärss; indoeuroopa; keel; sõna; rahvakeel
2,0,0,0,1,4,3,2,1,12,regivärss; indoeuroopa; keel; sõna; rahvakeel
2,0,0,0,1,4,3,2,1,12,regivärss; indoeuroopa; keel; sõna; rahvakeel
2,0,0,0,1,4,3,2,1,12,regivärss; indoeuroopa; keel; sõna; rahvakeel
2,0,0,0,0,3,2,2,1,12,regivärss; indoeuroopa; keel; sõna; rahvakeel
1,0,1,2,0,0,1,2,1,12,indoeuroopa; regivärss; keel; sõna; rahvakeel
1,1,1,0,1,0,1,2,0,12,indoeuroopa; regivärss; keel; rahvakeel
1,1,1,0,1,0,1,2,0,12,indoeuroopa; regivärss; keel; rahvakeel
0,1,1,0,0,0,1,2,0,12,indoeuroopa; regivärss
1,1,1,0,0,0,1,2,1,12,indoeuroopa; regivärss
