EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,1,3,0,4,3,3,3,1,12,nurk; vangla; raamat; kirjade; võitlus; ämber; martin
1,1,3,0,4,3,3,3,1,12,nurk; vangla; raamat; kirjade; võitlus; ämber; martin
1,1,3,0,4,3,3,3,1,12,nurk; vangla; raamat; kirjade; võitlus; ämber; martin
1,1,3,0,4,3,3,3,1,12,nurk; vangla; raamat; kirjade; võitlus; ämber; martin
1,1,3,0,4,3,3,3,1,12,nurk; vangla; raamat; kirjade; võitlus; ämber; martin
1,1,3,0,4,3,3,3,1,12,nurk; vangla; raamat; kirjade; võitlus; ämber; martin
1,1,3,0,4,3,3,3,1,12,nurk; vangla; raamat; kirjade; võitlus; ämber; martin
1,1,3,0,4,3,3,3,1,12,nurk; vangla; raamat; kirjade; võitlus; ämber; martin
1,1,3,0,4,3,3,3,1,12,nurk; vangla; raamat; kirjade; võitlus; ämber; martin
1,1,3,0,4,3,3,3,1,12,nurk; vangla; raamat; kirjade; võitlus; ämber; martin
1,1,3,0,4,3,3,3,1,12,nurk; vangla; raamat; kirjade; võitlus; ämber; martin
