EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,2,1,1,2,2,3,3,2,13,ema; torm; kon-tiki; johan; isa
2,2,1,1,2,2,3,3,2,13,ema; torm; kon-tiki; johan; isa
2,2,1,1,2,2,3,3,2,13,ema; torm; kon-tiki; johan; isa
2,2,1,1,2,2,3,3,2,13,ema; torm; kon-tiki; johan; isa
2,2,1,1,2,2,3,3,2,13,ema; torm; kon-tiki; johan; isa
2,2,1,1,2,2,3,3,2,13,ema; torm; kon-tiki; johan; isa
2,2,1,1,2,2,3,3,2,13,ema; torm; kon-tiki; johan; isa
3,3,1,1,2,2,3,3,2,13,ema; johan; torm; kon-tiki; isa; ütlemata
1,3,1,4,2,4,1,4,2,13,ema; johan; torm; kon-tiki; isa; ütlemata
1,3,1,3,2,4,2,4,2,13,ema; johan; torm; kon-tiki; isa; ütlemata
2,3,2,0,2,4,1,4,2,13,ema; johan; torm; kon-tiki; isa; ütlemata
