EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,4,5,4,1,2,4,5,11,superstaar; kontsert; lill; eurovisioon; plaat; laulma
5,6,5,5,3,1,2,6,5,11,superstaar; kontsert; lill; eurovisioon; plaat; laulma
4,6,4,5,3,2,3,6,5,11,superstaar; kontsert; lill; eurovisioon; plaat; laulma
4,6,6,5,4,3,4,6,5,11,superstaar; kontsert; lill; eurovisioon; plaat; laulma
2,5,5,4,4,6,5,6,5,11,kontsert; lill; superstaar; eurovisioon; plaat; laulma
4,6,5,4,4,6,6,6,5,11,kontsert; lill; superstaar; eurovisioon; plaat; laulma
5,6,6,5,5,6,6,6,5,11,kontsert; lill; superstaar; eurovisioon; plaat; laulma
6,6,5,6,5,6,5,6,5,11,kontsert; lill; superstaar; eurovisioon; plaat; laulma
6,6,5,6,6,6,6,6,5,11,superstaar; kontsert; lill; eurovisioon; plaat; laulma
6,6,5,6,6,6,5,6,6,11,superstaar; kontsert; lill; eurovisioon; plaat; laulma
5,6,5,6,6,6,5,6,6,11,superstaar; kontsert; lill; eurovisioon; plaat; laulma
