EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,5,7,5,6,6,5,3,12,kunst; looming; jumal; vene; screabin; sonaat; konservatoorium; saatus; protest
7,7,5,7,6,6,6,5,4,12,kunst; looming; jumal; vene; screabin; sonaat; konservatoorium; saatus; protest
6,7,5,7,6,6,6,5,4,12,kunst; looming; jumal; vene; screabin; sonaat; konservatoorium; saatus; protest
6,7,5,7,9,6,6,5,5,12,kunst; looming; jumal; vene; screabin; sonaat; konservatoorium; saatus; protest
6,7,6,7,9,6,7,5,5,12,kunst; looming; jumal; vene; screabin; sonaat; konservatoorium; saatus; protest
7,7,7,7,8,7,6,6,5,12,kunst; looming; jumal; vene; screabin; sonaat; konservatoorium; saatus; protest
9,7,7,7,9,6,5,6,7,12,kunst; looming; jumal; vene; screabin; sonaat; konservatoorium; saatus; protest
9,6,7,7,8,9,6,7,8,12,kunst; looming; jumal; vene; screabin; sonaat; konservatoorium; saatus; protest
8,5,7,7,9,8,7,6,8,12,kunst; looming; jumal; vene; screabin; sonaat; konservatoorium; saatus; protest
6,6,6,7,8,7,5,7,8,12,kunst; looming; jumal; vene; screabin; sonaat; konservatoorium; saatus; protest
7,6,7,7,9,7,5,8,7,12,kunst; looming; jumal; vene; screabin; sonaat; konservatoorium; saatus; protest
