EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,8,8,4,4,5,4,8,6,12,jooks; võistlus; ain-alar; ujumine; johanson; sportlane; juhanson; triatlon; hawaii; ratas; ironman; distants
10,8,8,4,4,6,4,8,6,12,jooks; võistlus; ain-alar; ujumine; johanson; sportlane; juhanson; triatlon; hawaii; ratas; ironman; distants
10,8,9,4,5,6,5,9,5,12,jooks; võistlus; ain-alar; ujumine; johanson; sportlane; juhanson; triatlon; hawaii; ratas; ironman; distants
10,9,9,4,5,8,7,8,5,12,jooks; võistlus; ain-alar; ujumine; johanson; sportlane; juhanson; triatlon; hawaii; ratas; ironman; distants
9,10,9,5,6,9,9,9,5,12,jooks; võistlus; ain-alar; ujumine; johanson; sportlane; juhanson; triatlon; hawaii; ratas; ironman; distants
8,10,9,7,8,9,10,10,5,12,jooks; võistlus; ain-alar; ujumine; johanson; sportlane; juhanson; triatlon; hawaii; ratas; ironman; distants
8,10,10,7,7,11,8,9,6,12,jooks; võistlus; ain-alar; ujumine; johanson; sportlane; juhanson; triatlon; hawaii; ratas; ironman; distants
6,8,9,9,7,11,9,10,8,12,jooks; võistlus; ain-alar; ujumine; johanson; juhanson; sportlane; triatlon; hawaii; ratas; ironman; distants
7,8,8,8,10,11,8,9,8,12,jooks; võistlus; ain-alar; ujumine; sportlane; johanson; juhanson; triatlon; hawaii; ratas; ironman; distants
5,8,10,8,10,9,7,8,8,12,jooks; võistlus; ain-alar; ujumine; sportlane; johanson; juhanson; triatlon; hawaii; ratas; ironman; distants
7,9,10,8,9,8,5,9,8,12,jooks; võistlus; ain-alar; ujumine; sportlane; juhanson; johanson; triatlon; hawaii; ratas; ironman; distants
