EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,5,4,7,6,5,5,7,13,regulatsioon; mõjutamine; idealism; poliitika; internet; relv; mass; kasum
8,7,5,4,7,6,5,4,7,13,regulatsioon; mõjutamine; idealism; poliitika; internet; relv; mass; kasum
8,7,3,4,7,6,5,5,7,13,regulatsioon; mõjutamine; idealism; poliitika; internet; relv; mass; kasum
8,7,5,5,7,6,5,5,7,13,regulatsioon; mõjutamine; idealism; poliitika; internet; relv; mass; kasum
8,6,6,5,7,6,7,5,7,13,regulatsioon; mõjutamine; idealism; poliitika; internet; relv; mass; kasum
8,6,7,5,7,6,6,5,7,13,regulatsioon; mõjutamine; idealism; poliitika; internet; relv; mass; kasum
7,6,8,6,8,6,7,6,6,13,regulatsioon; mõjutamine; idealism; poliitika; internet; relv; mass; kasum
7,6,8,8,8,6,8,7,5,13,regulatsioon; mõjutamine; idealism; poliitika; internet; relv; mass; kasum
6,6,8,8,8,7,8,8,5,13,regulatsioon; mõjutamine; idealism; poliitika; internet; relv; mass; kasum
7,6,8,8,8,7,8,8,7,13,regulatsioon; mõjutamine; idealism; poliitika; internet; relv; mass; kasum
5,7,8,8,8,7,8,8,7,13,regulatsioon; idealism; mõjutamine; poliitika; internet; relv; mass; kasum
