EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,3,3,3,1,1,3,2,11,kvaliteet; hapnik; vesi; raud
3,3,3,3,4,1,1,3,2,11,kvaliteet; hapnik; vesi; raud
3,3,3,3,4,1,1,3,2,11,kvaliteet; hapnik; vesi; raud
3,3,3,3,4,1,1,3,2,11,kvaliteet; hapnik; vesi; raud
2,3,3,3,4,1,1,3,2,11,kvaliteet; hapnik; vesi; raud
2,3,4,3,4,2,3,3,2,11,kvaliteet; hapnik; vesi; raud
1,4,4,4,3,2,3,2,2,11,kvaliteet; hapnik; vesi; raud
4,3,3,3,3,4,4,4,2,11,kvaliteet; hapnik; vesi; raud
4,2,3,1,4,4,3,4,2,11,kvaliteet; hapnik; vesi; raud
4,2,3,1,3,4,3,4,3,11,kvaliteet; hapnik; vesi; raud
4,2,3,2,3,4,3,4,3,11,kvaliteet; hapnik; vesi; raud
