EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,5,6,4,1,1,4,7,14,estonia; teater; eesti; haridus; vene; laen; selts; kultuur
5,6,5,6,4,2,1,5,7,14,estonia; teater; eesti; haridus; vene; laen; selts; kultuur
5,6,4,6,4,3,2,5,7,14,estonia; teater; eesti; haridus; vene; laen; selts; kultuur
6,7,4,6,4,4,2,5,7,14,estonia; teater; eesti; haridus; vene; laen; selts; kultuur
6,7,5,5,4,3,1,5,7,14,estonia; teater; eesti; haridus; vene; laen; selts; kultuur
6,7,5,5,5,3,3,5,6,14,estonia; teater; eesti; haridus; vene; laen; selts; kultuur
7,7,6,8,6,3,2,6,6,14,estonia; teater; eesti; haridus; vene; laen; selts; kultuur
5,7,4,6,6,5,1,7,6,14,estonia; teater; eesti; haridus; vene; laen; selts; kultuur
3,6,4,6,6,2,2,6,6,14,estonia; teater; eesti; haridus; vene; laen; selts; kultuur
6,6,4,6,6,2,5,7,6,14,estonia; teater; eesti; haridus; vene; laen; selts; kultuur
4,6,3,7,6,4,5,7,6,14,estonia; teater; eesti; haridus; vene; laen; selts; kultuur
