EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
snaiper ütleme;tähendab traagilisemad;näiteks lapsepõlvest;vaatamatuteks kujunes;mail andnud;aastate mõttetegevuse;aastal ettekujutus;naan kirjutanud;aidata õppida
ani natsionaalsotsialism;kaks vahest;teadlaste mäletan;paik ametlikult;objekt aine;huviga hiljem;küllaltki naiivne;vladivostokist ütleme;jama akadeemia
sõidad asulat;küla lähikonnas;varasemast intervjuust;jälle uuesti;haavata funktsioonide;intervjuust lugenud;optimist loodaksin;sündisin 50;kirjanduse võib-olla
pahupidi aeg;tookord seisval;naan kirjutanud;füüsikaõpetajaks ukrainlane;intensiivsem samane;saabuma seitsmeteistkümnendal;ladusalt kriitilisem;kirjutanud 1964;sõja algus
seesmine ühendav;seotud lokaalsete;võõras linnas;meeste üldühelt;võimalus näidata;kuulata 60;loodaksin viimaste;1001 artiklit;koolides vaieldamatult
laskespordiinstruktorid kursused;asi juhuslikult;lõunas kaagras;pärnu maakonnakomitee;linkorda mehed;vaja kirjutada;lootusetult vananenud;lugu entsüklopeediates;mõtlema järk-järgult
olulised asjad;mõtlemistehnika periood;teadosses eluajal;hurra psühholoogiliselt;tähendab esimene;jäi mulje;kirjanduse võib-olla;varasemast intervjuust;surma nii-öelda
suur elukool;teadus eestis;ületasin lennukil;õppisin näiteks;näiteks arvati;arutasime jälle;intervjuust lugenud;mees teadur;mõtlemise vahe
sõnu evolutsioon;metskee fašiste;astronoomia paremal;asi mõttes;moment vähem;vanaema võimalus;võimaluse küsitleda;meremees sündisin;elu nii-öelda
võib-olla detailid;füüsikutes nii-öelda;naiivne suur;annan oska;tekib hasart;võib-olla marx;informatiivne tuleviku;gustav naan;65 aastal
seotud lokaalsete;lugu entsüklopeediates;lõpuklassides tore;alevist koolis;kuulub ilusal;õpetlikum rääkida;teisiti hätte;füüsikaõpetajaks ukrainlane;tahes-tahtmata mõtlema
sealsamas läheduses;tunne jutajat;rahalisele toetusele;saagi kvalifitseeritud;teisiti hätte;naan naiivne;eriti teadlaste;memuaarkirjanduse lugemine;41 aasta
