keyphrase;score
tähendab;0.9813
meeldib;0.9465
roosileht;0.9459
kümnevase;0.9427
välgukiirusel;0.9407
mariannilt;0.9392
felslandi;0.9387
mereröövli;0.9384
röövretkele;0.9362
üldse;0.9336
näitan;0.9332
merede;0.9323
trepile;0.9315
maskeeritult;0.9313
leppinud;0.931
riisipirukaid;0.9308
mereröövel;0.9297
selde;0.9286
mereröövlitest;0.9275
parimas;0.9265
reisiseltskonda;0.9265
verivaenlase;0.926
kaugusel;0.9252
valgevatsa;0.9236
kirevase;0.9234
õueväravasse;0.9225
tavaline;0.9224
tikkerpalu;0.9215
kuuled;0.9211
silmad;0.9209
raamatu;0.92
kuuldemängu;0.9193
lunamaksuks;0.919
väikese;0.9185
inkognito;0.9179
andres;0.9158
ükssilm;0.9154
valgevad;0.9153
möirgab;0.9151
esine;0.9131
julgema;0.9125
dramatiseeri;0.912
kristiine;0.9119
tunneb;0.9117
mööblit;0.9115
jalgsi;0.9115
piiluda;0.9112
ütelda;0.9105
jaapargood;0.9083
selslandi;0.9075
teene;0.9074
erilist;0.9074
pärida;0.9066
tundnud;0.9064
tekib;0.9061
saapasäärde;0.9053
leidsime;0.905
otsiks;0.9049
põnnine;0.9049
silveltsin;0.9046
kuste;0.9034
äkksea;0.903
liigutab;0.9022
meres;0.9022
tähtsust;0.9019
küsiks;0.9018
rummi;0.9017
hobuse;0.9016
peenem;0.9013
lunarahaks;0.9005
mürmagoonia;0.8996
süda;0.899
ähkimist;0.898
rattu;0.898
aardekaarti;0.8978
vaarial;0.8977
lubate;0.8975
aita;0.8973
niine;0.8969
lihtsalt;0.8969
kirdetallu;0.8966
kaisa;0.8965
karvavõrdki;0.8938
hirmsatest;0.8936
mängib;0.8934
osades;0.8931
au;0.8924
hüüda;0.8921
helirežissöör;0.8915
valjugesimise;0.8906
meremehe;0.8906
neiu;0.8905
hobune;0.8898
ainetel;0.8895
armastab;0.889
kadriannile;0.8889
tuuled;0.8887
papagoid;0.8874
kaubalaevast;0.8865
küsimist;0.8856
näed;0.8854
mõte;0.8853
kõrb;0.8849
natukene;0.8843
kaugelt;0.8842
häälega;0.8841
meremehekirstust;0.8834
õue;0.8832
osas;0.8831
kaugusest;0.8831
kartmatu;0.8822
sagrits;0.8817
hirmsam;0.8812
heino;0.8808
ammu;0.8802
soov;0.8794
vana;0.8781
külalisi;0.8767
incognito;0.8765
otsib;0.8762
lampial;0.8759
seegi;0.8751
taseme;0.8736
eksilm;0.8721
christine;0.8721
näinud;0.8713
tõepoolest;0.8705
annil;0.8692
sussi;0.8682
lahti;0.868
hoiatab;0.8667
tütar;0.8662
odraiva;0.8657
kindlast;0.8655
jack;0.8654
pööningult;0.8652
isand;0.8639
viis;0.8637
välksilm;0.8633
paraku;0.8623
ühesõnaga;0.8619
otsima;0.8608
viskaja;0.8606
jalaga;0.8601
kindla;0.8601
nyyd;0.8576
kadri-anni;0.8566
kinnitate;0.8566
kostubki;0.8559
araabia;0.8548
vaata;0.8544
võib-olla;0.8523
juhataja;0.8513
lõppes;0.8512
suksu;0.8488
jack'i;0.8487
koer;0.8481
lääne;0.8466
hinganito;0.8461
toovad;0.8453
esineb;0.8437
ino;0.8429
moodi;0.8423
mees;0.8413
ilus;0.8393
perenaine;0.8379
lampjalg;0.8335
lavastas;0.8308
salu;0.8306
kaks;0.83
nojah;0.8274
känd;0.8239
pealegi;0.8206
aidas;0.8176
magada;0.8162
ütles;0.8161
tüdrukut;0.8106
nõuavad;0.808
võimalik;0.796
võtab;0.7788
poiss;0.7724
puust;0.7688
admirali;0.7484
habet;0.7392
tahavad;0.7141
rico;0.7095
nimi;0.7083
koju;0.7077
viie;0.699
laura;0.65
ustav;0.6357
lamp;0.6298
nimeks;0.6266
lapsed;0.5974
;0.5707
puerto;0.5567
hirmus;0.5484
järgib;0.533
admiral;0.5206
kolmas;0.4616
