EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,10,11,11,7,11,11,11,11,12,viivi; kollane; kass; luuletaja; tulevik; iroonia; intervjuu; raadioarhiiv; mati; unt; romaan
11,10,11,11,7,11,11,11,11,12,viivi; kollane; kass; luuletaja; tulevik; iroonia; intervjuu; raadioarhiiv; mati; unt; romaan
11,10,11,11,7,11,11,11,11,12,viivi; kollane; kass; luuletaja; tulevik; iroonia; intervjuu; raadioarhiiv; mati; unt; romaan
11,10,10,11,7,11,11,11,11,12,viivi; kollane; kass; luuletaja; tulevik; iroonia; intervjuu; raadioarhiiv; mati; unt; romaan
11,10,11,11,8,11,11,11,11,12,viivi; kollane; kass; luuletaja; tulevik; iroonia; intervjuu; raadioarhiiv; mati; unt; romaan
11,11,11,11,8,11,11,11,11,12,viivi; kollane; kass; luuletaja; tulevik; iroonia; intervjuu; raadioarhiiv; mati; unt; romaan
11,11,11,11,8,11,11,11,11,12,viivi; kollane; kass; luuletaja; tulevik; iroonia; intervjuu; raadioarhiiv; mati; unt; romaan
10,11,11,11,9,11,11,11,11,12,viivi; kollane; kass; luuletaja; tulevik; iroonia; intervjuu; raadioarhiiv; mati; unt; romaan
11,11,11,10,11,11,11,11,11,12,viivi; kollane; kass; luuletaja; tulevik; iroonia; intervjuu; raadioarhiiv; mati; unt; romaan
10,11,11,10,11,11,10,11,11,12,viivi; kollane; kass; luuletaja; tulevik; iroonia; intervjuu; raadioarhiiv; mati; unt; romaan
10,11,11,10,10,10,10,11,10,12,viivi; kollane; kass; luuletaja; tulevik; iroonia; intervjuu; raadioarhiiv; mati; unt; romaan
