EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,12,9,13,5,14,13,14,12,19,tenor; leili; jüri; kuusk; keel; ooper; armastus; ivo; estonia; koor; itaalia; teater; lendav; tamme; kruus; hollandlane; laulja; lavastaja
12,14,9,13,5,14,13,14,12,19,tenor; leili; jüri; kuusk; keel; ooper; armastus; ivo; estonia; koor; itaalia; teater; lendav; tamme; kruus; hollandlane; laulja; lavastaja
12,14,10,13,6,14,14,14,13,19,tenor; leili; jüri; kuusk; keel; ooper; armastus; ivo; estonia; koor; itaalia; teater; lendav; tamme; kruus; hollandlane; laulja; lavastaja
13,12,10,13,7,14,14,14,12,19,tenor; leili; jüri; kuusk; keel; ooper; armastus; ivo; estonia; koor; itaalia; teater; lendav; tamme; kruus; hollandlane; laulja; lavastaja
11,13,11,14,9,14,14,15,12,19,tenor; leili; jüri; kuusk; keel; ooper; armastus; ivo; estonia; koor; itaalia; teater; lendav; tamme; kruus; hollandlane; laulja; lavastaja
10,12,12,15,11,12,15,15,12,19,tenor; leili; jüri; kuusk; keel; ooper; armastus; ivo; estonia; koor; teater; itaalia; lendav; tamme; kruus; hollandlane; laulja; lavastaja
10,15,15,14,15,12,12,15,12,19,tenor; leili; jüri; kuusk; keel; ooper; armastus; ivo; estonia; koor; itaalia; teater; lendav; tamme; kruus; hollandlane; laulja; lavastaja
15,14,13,16,12,13,12,15,12,19,tenor; leili; jüri; kuusk; keel; ooper; armastus; ivo; estonia; koor; teater; itaalia; lendav; tamme; kruus; hollandlane; laulja; lavastaja
12,16,15,15,13,11,13,14,10,19,tenor; leili; jüri; kuusk; keel; ooper; armastus; ivo; estonia; koor; teater; itaalia; lendav; tamme; kruus; hollandlane; laulja; lavastaja
12,14,15,13,13,11,14,11,12,19,tenor; leili; jüri; kuusk; keel; ooper; armastus; ivo; estonia; koor; teater; itaalia; lendav; tamme; kruus; hollandlane; laulja; lavastaja
11,13,17,14,13,12,11,12,10,19,tenor; leili; jüri; kuusk; keel; ooper; armastus; ivo; estonia; koor; itaalia; teater; lendav; tamme; kruus; hollandlane; laulja; lavastaja
