EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,6,7,5,6,5,5,7,11,puhkama; külaline; maastik; eesti; austraalia; ludwig; asundus; hoolitsemine
6,6,6,7,5,6,5,5,7,11,puhkama; külaline; maastik; eesti; austraalia; ludwig; asundus; hoolitsemine
6,6,6,8,5,6,5,5,7,11,puhkama; külaline; maastik; eesti; austraalia; ludwig; asundus; hoolitsemine
6,6,7,8,5,5,6,6,7,11,puhkama; külaline; maastik; eesti; austraalia; ludwig; asundus; hoolitsemine
7,6,8,6,5,6,6,6,7,11,puhkama; külaline; maastik; eesti; austraalia; ludwig; asundus; hoolitsemine
7,6,8,7,6,5,5,8,7,11,puhkama; külaline; maastik; eesti; austraalia; ludwig; asundus; hoolitsemine
8,6,8,6,6,6,5,8,7,11,puhkama; külaline; maastik; eesti; austraalia; ludwig; asundus; hoolitsemine
8,6,8,7,6,7,6,8,7,11,puhkama; külaline; maastik; eesti; austraalia; ludwig; asundus; hoolitsemine
8,6,7,8,6,8,5,8,7,11,puhkama; külaline; maastik; eesti; austraalia; ludwig; asundus; hoolitsemine
7,7,7,8,6,7,6,8,7,11,puhkama; külaline; maastik; eesti; austraalia; ludwig; asundus; hoolitsemine
7,7,6,8,7,7,6,8,8,11,puhkama; külaline; maastik; eesti; austraalia; ludwig; asundus; hoolitsemine
