EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,7,7,7,7,7,7,7,11,andres; olümpia; uunikum; muusika; freddie; barcelona; mercury
7,7,7,7,7,7,7,7,7,11,andres; olümpia; uunikum; muusika; freddie; barcelona; mercury
7,7,7,7,7,7,7,7,7,11,andres; olümpia; uunikum; muusika; freddie; barcelona; mercury
7,7,7,7,7,7,7,7,7,11,andres; olümpia; uunikum; muusika; freddie; barcelona; mercury
7,7,7,7,7,7,7,7,7,11,andres; olümpia; uunikum; muusika; freddie; barcelona; mercury
7,7,7,7,7,7,7,7,7,11,andres; olümpia; uunikum; muusika; freddie; barcelona; mercury
7,7,7,7,7,7,7,7,7,11,andres; olümpia; uunikum; muusika; freddie; barcelona; mercury
7,7,7,7,7,7,7,7,7,11,andres; olümpia; uunikum; muusika; freddie; barcelona; mercury
7,7,7,7,7,7,7,7,7,11,andres; olümpia; uunikum; muusika; freddie; barcelona; mercury
7,7,7,7,7,7,7,7,7,11,andres; olümpia; uunikum; muusika; freddie; barcelona; mercury
7,7,7,7,7,7,7,7,7,11,andres; olümpia; uunikum; muusika; freddie; barcelona; mercury
