EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,8,10,8,10,8,9,8,12,kinni; raamat; rabandus; hoidma; tuisk; torm; käsi; ivo; poeg; isa
10,10,8,10,8,10,8,9,8,12,kinni; raamat; rabandus; hoidma; tuisk; torm; käsi; ivo; poeg; isa
10,10,8,10,8,10,9,9,8,12,kinni; raamat; rabandus; hoidma; tuisk; torm; käsi; ivo; poeg; isa
10,10,9,10,8,10,9,9,8,12,kinni; raamat; rabandus; hoidma; tuisk; torm; käsi; ivo; poeg; isa
10,10,10,10,8,10,8,9,8,12,kinni; raamat; rabandus; hoidma; tuisk; torm; käsi; ivo; poeg; isa
10,10,10,9,9,10,9,9,8,12,kinni; raamat; rabandus; hoidma; tuisk; torm; käsi; ivo; poeg; isa
9,10,10,10,9,10,10,10,8,12,kinni; raamat; rabandus; hoidma; tuisk; torm; käsi; ivo; poeg; isa
9,10,9,10,9,10,10,10,9,12,kinni; raamat; rabandus; hoidma; tuisk; torm; käsi; ivo; poeg; isa
9,10,10,10,9,10,10,10,9,12,kinni; raamat; rabandus; hoidma; tuisk; torm; käsi; ivo; poeg; isa
9,10,10,9,10,10,10,9,10,12,kinni; raamat; rabandus; hoidma; tuisk; torm; käsi; ivo; poeg; isa
9,10,10,9,10,10,10,9,10,12,kinni; raamat; rabandus; hoidma; tuisk; torm; käsi; ivo; poeg; isa
