EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,8,3,2,8,7,8,8,12,aabits; raha; kadakas; esimene; lugu; tarand; mari; sõna; tahv
6,6,8,4,2,8,7,8,8,12,aabits; raha; kadakas; esimene; lugu; tarand; mari; sõna; tahv
6,6,8,4,2,8,7,8,8,12,aabits; raha; kadakas; esimene; lugu; tarand; mari; sõna; tahv
8,6,8,4,2,8,7,8,8,12,aabits; raha; kadakas; esimene; lugu; tarand; mari; sõna; tahv
6,6,8,3,3,8,7,8,8,12,aabits; raha; kadakas; esimene; lugu; tarand; mari; sõna; tahv
7,6,9,3,4,7,9,9,8,12,aabits; raha; kadakas; esimene; lugu; tarand; mari; sõna; tahv
7,8,8,8,5,8,9,9,8,12,aabits; raha; kadakas; esimene; lugu; tarand; mari; sõna; tahv
6,8,9,8,7,8,8,9,8,12,aabits; raha; kadakas; esimene; lugu; tarand; mari; sõna; tahv
6,9,9,9,8,8,9,9,9,12,aabits; raha; kadakas; esimene; lugu; tarand; mari; sõna; tahv
6,9,9,9,9,8,9,8,8,12,aabits; raha; kadakas; esimene; lugu; tarand; mari; sõna; tahv
7,9,9,9,9,8,9,8,9,12,aabits; raha; kadakas; lugu; esimene; tarand; mari; sõna; tahv
