EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,11,10,9,11,10,11,11,9,15,talv; raamat; mälestus; tegevus; ants; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
10,11,10,9,11,10,11,11,9,15,talv; raamat; mälestus; tegevus; ants; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
10,10,12,9,11,12,11,10,9,15,talv; raamat; mälestus; tegevus; ants; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
11,10,12,10,11,12,11,10,9,15,talv; raamat; mälestus; tegevus; ants; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
12,11,11,9,11,13,11,11,10,15,talv; raamat; mälestus; tegevus; ants; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
10,11,12,9,12,13,12,12,10,15,talv; raamat; ants; mälestus; tegevus; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
11,12,11,9,12,13,14,13,10,15,talv; ants; raamat; mälestus; tegevus; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
13,12,13,12,13,14,11,11,11,15,talv; raamat; ants; mälestus; tegevus; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
12,13,12,11,13,11,13,13,11,15,talv; raamat; mälestus; tegevus; ants; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
11,13,11,11,13,12,13,13,12,15,talv; raamat; tegevus; ants; mälestus; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
11,14,11,11,13,11,13,11,12,15,talv; raamat; tegevus; ants; mälestus; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
