EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
ohendsollern dünastia;Berliin karu;mõtlema Saksamaa;Ida-Saksamaapiir tärastama;loss palee;aeg saksa;aeg-ajalt Saksa;kõlama Berliin;jääma võib-olla
algus Ensolon;linn ehitis;1871 saksa;1951 kempema;inimene kodu;raadiosaade Saksamaa;raadiosaade Saksamaa;Berliin ehitama;korruseline esimene
vältima monumentalism;laager Saksamaa;Saksa laager;jõulude-eelne aeg;andma kindel;vaheldus kõlama;Saksamaa kõlama;lugu saksa;teadma 10
ärevil sabovsk;tänav dekoratiivne;1900 viiekümnes;seisma iirimatult;kurverst andma;ükskord ammu;Lääne-Berliin kaheksakümnes;aeg-ajalt Saksa;korruseline kemp
tõusma Kuudan;Berliin eakas;ajalooline piirkond;ülearu sõjakas;inimene unustama;ammu kahekümnes;laager Saksamaa;Ida-Berliin Varssav;53 aasta
Berliin Friedrich;ajalugu Friedrich;Lääne-Saksamaa novembrikuu;Hector kirjutama;andma tulevik;muusika aeg;unustama Berliin;Lääne-Berliin viiekümnes;aasta 1734
elusoon Kurferstendam;ohendsollern dünastia;oktoober 1929;avanema Napoleon;vältima monumentalism;1923 kõlama;Berliin pidu;Berliin varietee;kohtumispaik hoone
Main How;euroop keskus;ajal 1943;10 sajand;andma jää;mängima raadio;maailmasõda Berliin;sõjajärgne Berliin;keskaeg 12
Marlene Dietrich;määrderikas villa;juhtuma kunagine;jälg kurfior;torn taevas;kasvama Berliin;ütlema berliinlane;Berliin 17000;Berliin lääne-ja
lihterfele projekt;jääma vahest;õudus hirm;tants vulkaan;side karu;tekkima vana;perekond Berliin;laager Saksamaa;Saksamaa kõlama
tööstusrevolutsioon hulk;endine kuju;moodi muusika;austria kunstnik;number vaheldus;naiivne lapsepõlv;muusika laager;berliinlane Albert;kiire Ida-Berliin
