EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,6,6,5,4,8,6,6,5,12,lähedane; lõpp; rahuaeg; heategevus; jaanuar; intensiivne; aasta; jõulurõõm; tegutsemisaeg
4,6,6,5,4,8,6,6,5,12,lähedane; lõpp; rahuaeg; heategevus; jaanuar; intensiivne; aasta; jõulurõõm; tegutsemisaeg
4,6,6,5,4,8,6,6,5,12,lähedane; lõpp; rahuaeg; heategevus; jaanuar; intensiivne; aasta; jõulurõõm; tegutsemisaeg
4,6,6,5,4,8,6,6,5,12,lähedane; lõpp; rahuaeg; heategevus; jaanuar; intensiivne; aasta; jõulurõõm; tegutsemisaeg
4,6,6,5,4,8,6,6,5,12,lähedane; lõpp; rahuaeg; heategevus; jaanuar; intensiivne; aasta; jõulurõõm; tegutsemisaeg
4,6,6,5,4,8,6,6,5,12,lähedane; lõpp; rahuaeg; heategevus; jaanuar; intensiivne; aasta; jõulurõõm; tegutsemisaeg
4,6,6,5,4,8,6,6,5,12,lähedane; lõpp; heategevus; rahuaeg; jaanuar; intensiivne; aasta; jõulurõõm; tegutsemisaeg
4,6,6,6,4,8,6,6,5,12,lähedane; lõpp; heategevus; rahuaeg; jaanuar; intensiivne; aasta; jõulurõõm; tegutsemisaeg
4,6,6,6,4,8,7,7,5,12,lähedane; lõpp; heategevus; rahuaeg; jaanuar; intensiivne; aasta; jõulurõõm; tegutsemisaeg
4,6,7,6,4,8,7,7,5,12,lähedane; lõpp; rahuaeg; heategevus; jaanuar; intensiivne; aasta; jõulurõõm; tegutsemisaeg
4,7,8,6,3,8,7,7,5,12,lähedane; lõpp; rahuaeg; heategevus; jaanuar; intensiivne; aasta; jõulurõõm; kokkuvõte; tegutsemisaeg
