EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,7,6,4,4,4,5,3,2,11,stuudio; jooksma; aeg; korrus; sportlane; aesma; plaat
5,7,6,4,4,4,5,3,2,11,stuudio; jooksma; aeg; korrus; sportlane; aesma; plaat
5,7,6,4,4,4,5,3,2,11,stuudio; jooksma; aeg; korrus; sportlane; aesma; plaat
5,7,6,4,4,4,5,3,2,11,stuudio; jooksma; aeg; korrus; sportlane; aesma; plaat
5,7,6,4,4,4,5,3,2,11,stuudio; jooksma; aeg; korrus; sportlane; aesma; plaat
5,7,5,4,4,4,5,3,2,11,stuudio; jooksma; aeg; korrus; sportlane; aesma; plaat
2,7,7,5,4,4,4,4,2,11,stuudio; jooksma; aeg; korrus; sportlane; aesma; plaat
4,7,5,7,4,4,3,6,2,11,stuudio; jooksma; aeg; korrus; sportlane; aesma; plaat
3,7,5,7,4,5,4,5,2,11,stuudio; jooksma; aeg; korrus; sportlane; aesma; plaat
3,6,5,6,4,5,5,6,2,11,stuudio; jooksma; aeg; korrus; sportlane; aesma; plaat
6,6,7,6,4,5,4,5,2,11,stuudio; jooksma; aeg; korrus; sportlane; aesma; plaat
