EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
;Antoinette;Pariisis;sibulakujulisi;;Pariisis;Pariisis;Pariis;Venemaaga
Flarentiino;kroonivatkulised;Pariisi;ehitusmeistrid;fun;Pariisi;Pariisi;Pariisis;nime
siseõuede;Hiinammusseam;paviljone;mustvalge;loss;Pariis;Pariis;Prantsusmaale;tänapäeval
fondambles;ehitati;tornidega;saatorid;protokoll;Prantsusmaal;Suur-helepalee;Prantsusmaal;Läänemaale
Viiverebosimane;õiglus;tuhandeid;ehitusstiilidega;losside;Prantsusmaale;Euroopas;Pariisi;riiki
Phantom;apartementidega;tornid;kaunisse;fundhamble;linnas;Prantsusmaal;Prantsusmaa;kaunis
fundhamblös;19;kirikutornid;Neljateistkümnenda;ornament;Prantsusmaa;Prantsusmaale;Suur-helepalee;Ühesõnaga
Marie-Therese;Gibscrofist;hooneid;fantaasiaküllased;lossist;Louvre;linnake;kuningaruumidele;siinsetes
Bean'i;viibis;fantastiliselt;Kolmainsuse;eff;linna;linnas;fantaasiaküllased;ajal
šanssellisvee;kroonlühtrid;imepäraseid;meeldis;sünd;linnake;Euroopat;Itaaliast;reisiks
fundhamble;ela;näiteks;Suur-helepalee;losse;Suur-helepalee;kuulsamaid;peahoone;paljudel
õukonnaintriigide;käsul;linna;kuldseid;ideid;Euroopas;Prantsusmaa;saalidest;lõunasöökidel
Viiverebosinane;ridades;1547;ametlikku;elevant;imekaunis;Louvre;põhikorrusel;tõusevad
renessansiaegne;erikujulised;mõtlema;kuldsetes;fundam;fantaasiaküllased;ekstravagantset;Euroopat;Napoleoni
Hiinammusseam;;prantsuse;allegooriliste;ideede;lossidega;prantsuse;kuningaruumidega;aeg
Buckinghami;-st;ajaloost;koonusekujuliselt;kindlad;ilustavad;kuulsaia;kuningannast;esimene
Forientiina;kõrgeid;mõelda;koonilise;allikatest;imetlevad;Euroopa;luksuslikku;ametlikult
söögisaalid;keisrinna;üllatavalt;alumistele;näiteks;kaunis;Franzaja;Esimesest;võimuga
versais;ihuarstilt;hoonet;troonisaaliks;orvadest;reisiks;kuulus;luksuslikud;uuendusi
monogrammid;-ni;erakordselt;A-täht;Python;kauni;kuulsaimad;linnake;suurt
tähtsaim;1789;1814;vangilangemise;toredust;viibivatele;kuulsaid;Hiinammusseam;Teise
Python;embleem;viimaseks;hobuserauatreppi;ornamentide;kaunisse;intriigiderohkes;Franzaja;valmis
foontan;Minu;pargis;lumivalge;istmeid;kaunistas;Francois;Euroopas;taas
põrandavaibal;väike;imetlevad;lossidega;ideks;kaunilt;linna;linnas;väikest
hübriidstiilid;Jean-Baptiste;Marie-Therese;Kostüümiajalooalbumis;Need;imepäraseid;François;Euroopa;Venemaal
