EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,1,4,1,1,2,1,2,3,12,nato; klubi; õppus; väin; saar; suur; tehnika; sõda
3,1,4,1,1,2,1,2,3,12,nato; klubi; õppus; väin; saar; suur; tehnika; sõda
3,1,4,1,1,2,1,2,3,12,nato; klubi; õppus; väin; saar; suur; tehnika; sõda
3,1,4,1,1,2,1,2,3,12,nato; klubi; õppus; väin; saar; suur; tehnika; sõda
3,1,4,1,1,2,1,2,3,12,nato; klubi; õppus; väin; saar; suur; tehnika; sõda
3,1,4,1,1,2,1,2,3,12,nato; klubi; õppus; väin; saar; suur; tehnika; sõda
3,1,4,1,1,1,1,3,3,12,nato; klubi; õppus; väin; saar; suur; tehnika; sõda
3,1,2,0,1,1,0,3,3,12,nato; klubi; õppus; saar; suur; tehnika; sõda
3,1,3,2,1,1,0,3,3,12,nato; klubi; õppus; saar; suur; tehnika; sõda; britt
2,1,3,2,1,0,0,3,3,12,nato; klubi; õppus; saar; suur; tehnika; sõda; lahing
2,1,3,3,1,0,0,3,3,12,nato; klubi; õppus; saar; suur; tehnika; sõda; lahing; britt
