EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,4,3,3,2,3,2,2,3,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
2,4,3,3,2,3,2,2,3,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
2,4,3,3,2,3,2,2,4,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
2,4,3,3,2,3,2,2,4,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
2,4,3,3,2,3,2,2,4,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
2,4,3,3,2,3,2,2,4,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
2,4,3,3,2,3,2,2,4,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
2,4,3,3,2,3,2,2,4,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
2,4,3,3,2,3,2,2,4,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
2,4,3,3,2,3,2,2,4,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
2,4,3,3,2,3,2,2,4,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
