EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,2,1,0,0,1,1,0,0,13,prototüüp; film; stalin
1,2,1,0,0,1,1,0,0,13,prototüüp; film; stalin
1,2,1,0,0,1,1,0,0,13,prototüüp; film; stalin
1,2,1,0,0,1,1,0,0,13,prototüüp; film; stalin
1,2,0,0,0,1,1,0,0,13,prototüüp; film; stalin
1,1,0,0,0,1,1,0,0,13,prototüüp; film; stalin
1,2,0,0,0,1,1,0,0,13,prototüüp; stalin
1,2,0,0,0,1,1,0,0,13,prototüüp; stalin
1,2,0,0,0,1,1,1,0,13,prototüüp; stalin
1,1,0,1,0,1,1,1,0,13,prototüüp; stalin
0,0,0,1,0,1,1,1,0,13,prototüüp; stalin
