EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,1,1,0,1,0,1,1,1,10,ants; pavel; signe
2,1,1,0,1,0,1,1,1,10,ants; pavel; signe
2,1,1,0,1,0,1,1,1,10,ants; pavel; signe
2,1,1,0,1,0,1,1,1,10,ants; pavel; signe
2,1,1,0,1,0,1,1,1,10,ants; pavel; signe
2,1,1,0,1,1,1,1,1,10,ants; pavel; signe
1,2,1,0,1,0,1,1,1,10,ants; pavel; signe
1,2,1,1,1,1,1,1,1,10,ants; pavel; signe
1,1,2,0,1,1,1,1,1,10,ants; pavel; signe
1,1,2,0,1,1,1,3,1,10,heinküla; ants; pavel; signe
1,1,2,0,1,0,0,1,1,10,ants; pavel; signe
