EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,1,5,1,0,4,4,4,5,12,laps; alver; nennike; pärtel; nooruk; bett; kreem; rätsep; sass; arseenik
6,1,5,1,0,4,4,4,5,12,laps; alver; nennike; pärtel; nooruk; bett; kreem; rätsep; sass; arseenik
6,1,5,1,0,4,4,4,5,12,laps; alver; nennike; pärtel; nooruk; bett; kreem; rätsep; sass; arseenik
6,1,4,1,0,4,4,4,5,12,laps; alver; nennike; pärtel; nooruk; bett; kreem; rätsep; sass; arseenik
6,1,4,1,0,5,5,4,5,12,laps; alver; nennike; pärtel; nooruk; bett; kreem; rätsep; sass; arseenik
6,1,7,1,0,6,4,5,5,12,laps; alver; nennike; pärtel; nooruk; bett; kreem; meelõhnaline; rätsep; sass; arseenik
5,1,7,2,0,5,4,5,4,12,laps; alver; nennike; pärtel; nooruk; bett; kreem; rätsep; sass; arseenik
3,2,8,2,2,4,5,6,4,12,laps; alver; nennike; pärtel; nooruk; bett; kreem; rätsep; sass; arseenik
3,2,6,1,2,3,5,7,4,12,laps; alver; nennike; pärtel; nooruk; bett; kreem; meelõhnaline; rätsep; sass; arseenik
5,3,7,6,3,4,5,8,4,12,laps; alver; nennike; pärtel; nooruk; bett; kreem; meelõhnaline; rätsep; sass; arseenik
4,2,5,7,4,3,3,8,4,12,laps; alver; nennike; pärtel; nooruk; bett; kreem; meelõhnaline; rätsep; sass; arseenik
