EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,6,6,4,4,4,4,5,10,ajutine; säuts; koer; õpilane; haridus; määrus
5,4,6,6,4,4,4,4,5,10,ajutine; säuts; koer; õpilane; haridus; määrus
5,4,6,6,4,4,4,4,5,10,ajutine; säuts; koer; õpilane; haridus; määrus
5,4,6,6,4,4,4,4,5,10,ajutine; säuts; koer; õpilane; haridus; määrus
5,4,6,6,4,4,4,4,5,10,ajutine; säuts; koer; õpilane; haridus; määrus
5,4,6,6,4,4,4,4,5,10,ajutine; säuts; koer; õpilane; haridus; määrus
5,4,6,6,4,4,4,4,5,10,ajutine; säuts; koer; õpilane; haridus; määrus
5,4,6,6,4,4,4,4,5,10,ajutine; säuts; koer; õpilane; haridus; määrus
5,4,6,6,4,4,4,4,5,10,ajutine; säuts; koer; õpilane; haridus; määrus
5,4,6,6,4,4,4,4,5,10,ajutine; säuts; koer; õpilane; haridus; määrus
5,4,6,6,4,4,4,4,5,10,ajutine; säuts; koer; õpilane; haridus; määrus
