EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,5,4,4,4,3,4,4,10,muusikaline; hollandlanna; pala; laul; california; tekst; keel; elizabeth
3,4,5,4,4,4,3,4,4,10,muusikaline; hollandlanna; pala; laul; california; tekst; keel; elizabeth
3,4,5,4,4,4,3,4,4,10,muusikaline; hollandlanna; pala; laul; california; tekst; keel; elizabeth
3,4,5,4,4,4,3,4,4,10,muusikaline; hollandlanna; pala; laul; california; tekst; keel; elizabeth
3,4,5,4,4,4,3,4,4,10,muusikaline; hollandlanna; pala; laul; california; tekst; keel; elizabeth
3,4,4,4,4,4,3,4,4,10,muusikaline; hollandlanna; pala; laul; california; tekst; keel; elizabeth
4,3,6,2,4,5,3,5,4,10,muusikaline; hollandlanna; pala; laul; california; tekst; keel; elizabeth
5,8,7,4,4,4,4,5,4,10,muusikaline; hollandlanna; pala; laul; california; tekst; keel; elizabeth
8,5,6,3,4,7,5,7,3,10,muusikaline; hollandlanna; laul; pala; california; tekst; keel; elizabeth
5,7,6,4,4,6,5,7,5,10,muusikaline; hollandlanna; pala; laul; california; tekst; keel; elizabeth
4,8,7,5,4,6,5,5,6,10,muusikaline; hollandlanna; pala; laul; california; tekst; keel; elizabeth
