EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,8,10,5,6,9,9,9,10,15,evangeelium; patt; jumal; ori; jüri; kannatlikkus; kirik; rahu; eesti; sõna; luterlik
4,8,10,5,6,9,9,9,10,15,evangeelium; patt; jumal; ori; jüri; kannatlikkus; kirik; rahu; eesti; sõna; luterlik
4,8,10,5,6,9,9,9,10,15,evangeelium; patt; jumal; ori; jüri; kannatlikkus; kirik; rahu; eesti; sõna; luterlik
4,8,10,5,6,9,9,9,10,15,evangeelium; patt; jumal; ori; jüri; kannatlikkus; kirik; rahu; eesti; sõna; luterlik
4,8,10,5,6,9,9,9,10,15,evangeelium; patt; jumal; ori; jüri; kannatlikkus; kirik; rahu; eesti; sõna; luterlik
4,8,10,5,6,9,9,9,10,15,evangeelium; patt; jumal; ori; jüri; kannatlikkus; kirik; rahu; eesti; sõna; luterlik
4,8,10,5,6,9,9,9,10,15,evangeelium; patt; jumal; ori; jüri; kannatlikkus; kirik; rahu; eesti; sõna; luterlik
4,8,10,5,6,9,9,9,10,15,evangeelium; patt; jumal; ori; jüri; kannatlikkus; kirik; rahu; eesti; sõna; luterlik
4,8,10,5,6,9,9,9,10,15,evangeelium; patt; jumal; ori; jüri; kannatlikkus; kirik; rahu; eesti; sõna; luterlik
4,8,10,5,6,9,9,9,10,15,evangeelium; patt; jumal; ori; jüri; kannatlikkus; kirik; rahu; eesti; sõna; luterlik
4,8,10,5,6,9,9,9,10,15,evangeelium; patt; jumal; ori; jüri; kannatlikkus; kirik; rahu; eesti; sõna; luterlik
