EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
kõnelemad ototot Tuits;edesi muudu inimesi;aastat küsisid inimestel;Jutega tegelenud jutukooli;deeda inimene takerdub;tähendust eesti rahvajututeema-aasta;eesti rahvajututeema-aasta rahvakultuuri;Rahvakultuuri keskuse jutukooli;roheliste kaantega raamat
devast tähelepannide Sissomede;om väega vähe;küsisid inimestel Kreutzwald;Esimeses kõrraskik saatexe;saamises projekte kirjutatakse;Tiiet Eesti rahvajuturaamatut;uudistesaadet Rahvakultuuri keskuse;rahvajututeema-aasta rahvakultuuri keskuse;mõtet küsidagi 10
ototot Tuits raamat;aasta tõrus jänes;rahvajuturaamatut inimesi mäleta;kõrraskik saatexe saed;vest etta näidata;eesti rahvajututeema-aasta rahvakultuuri;rahvajututeema-aasta rahvakultuuri keskuse;rahva jutukest rahvajutul;teema-aasta eestvedajaid Piret
mõista Webidade kõneleb;rahvajutu elu näites;hooli rahva juttest;elu näites kotun;asi annab tuld;Eesti rahva ennemuistse;Rahvakultuuri keskuse jutukooli;Eesti rahvajuturaamatut inimesi;Ma mõtlen kuist
Jakobson vast Juhan;mõtlema kirjutame projekte;rahva juttest ongi;Sissomede saatjaid veerand;uskumuse muutunu ongi;Eesti rahvajutu aasta;rahvakultuuri keskuse jutukooli;eesti rahvajututeema-aasta rahvakultuuri;kestava rahvapärimus võib-olla
meelde Jakobson vast;rahvajutu aastes Asja;kõneleb rahvakultuuri keskuse;raamatut om väega;kirjutava raha saamises;Eesti rahvajuturaamatut inimesi;jutukooli teema-aasta eestvedajaid;Eesti rahvajuturaamatut kuu;no inimese äkki
väärtushinnangu projekt nikku;Üts väega suur;inimestel Kreutzwald meelde;looda tähtsam praegamsistu;asi mõtlema kirjutame;inimese eesti rahvajutte;mulgi uudistesaadet Rahvakultuuri;jutukooli teema-aasta eestvedajaid;seminar 11 jaanuaril
kistus Myansid sündmusi;elu näites kotun;rahvajututeema-aasta rahvakultuuri keskuse;küsid Tiiet Eesti;huvitav deeda inimene;lahtidu eesti rahvajutulugu;kõneleb rahvakultuuri keskuse;rahvakultuuri keskuse jutukooli;10 aasta eesti
muistendi kohapärimus kaassihend;juttu Kreutzwald kirjanik;rahvakultuuri keskuse jutukooli;jutukooli vedanu mide;muutunu ongi huvitav;aasta eesti rahvajutu;rahvakultuuri keskuse kodulehe;Tiiet Eesti rahvajuturaamatut;mitukümmend aastat Jutega
rahvapärimus võib-olla võistlen;kirjutame projekte inimesi;rahva jutukest rahvajutul;Kas mede inimese;ongi huvitav deeda;üts Eesti rahvajuturaamatut;keskuse jutukooli teema-aasta;tähendust eesti rahvajututeema-aasta;mõtlen kuist no
