EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
Marlene Dietrich ütles;Berliinist töölisklassi metropol;mõelda Saksamaa sajandil;süstendam nägi Berliini;olevast suhteline vaikus;viiekümnendatel mängis raadio;esimesed raadiosaadet Saksamaal;1923 kõlasid Berliinis;korruseline esimene viie
sotsiaalkindlustuse süsteem vanade;Üks Berliini tuntumaid;1900 viiekümnendatel mängis;1952 hotell avad;poe akna istuma;seitsmekümnendad saksas laagrid;seitsmekümnendad saksas laagrid;Ajaloo seisukohalt Berliin;12 sajandi lõpupoole
hea hariduse noored;Berliini varietee lavale;Lääne-Berliinis kaheksakümnendatel üha;vapil 15 sajandi;meenutav hoone sammas;aega saksa keeles;viiekümnendatel mängis raadio;101 seisab Berliini;53 aastat Ajalugu
Hector Tema kirjutatud;uusi torne leidub;restoranides kohvikutes ööklubides;villade piirkonna rajanud;number vaheldus kõlab;raadiosaadet Saksamaal Juba;Saksamaast armsat naiivsetena;berliinlased elasid esimesed;15 sajandi algusest
üha kõrgklassi eluhooneid;eriti kloostreid linnunende;sotsiaalkindlustuse süsteem vanade;Ajaloo ürikutes mainitakse;otsustati ehitada uus;kahekümnendatel ilmus Berliini;1961 ärganud berliinlased;põgenes Berliinist 17000;lapsepõlve mällu jäänud
põgeneda Külm sõda;tollase Preisimaa peaministriks;moodi muusikat laager;elada Siinsed traditsioonid;antakse tulevikus luba;endistest aegadest mõnedki;salvestas 1923 kõlasid;maailmasõda Berliin ehitama;45 Neil aastail
nädalaga kaotas miljonit;Holskist 1912 aastal;tajusin tollal täiskasvanutele;üksikud hooned Aga;fuajee seinal meenutab;saksa keeles laulda;laager moodi muusikat;1952 lubatud Lääne-Berliini;valitsemise ajal 1740
otsustati ehitada uus;sõnast vaar tähendab;Võib-olla doosemas laager;How vaadeni terroristide;näiteks paistab kõikjal;tollal täiskasvanutele tähendasid;Kursustendam jäi Lääne-Berliini;lääne-ja Ida-Berliin Viimane;raadio aeg-ajalt Saksas
eesmärk suur armee;kolis kuueffhendamile Siin;Lähiajaloos juhtus paljugi;järglaste ajal arendati;aega saksa keeles;tagantjärele mõeldes tajusin;saksa keeles laulda;Berliinist töölisklassi metropol;Enam-vähem 230 aastat
Bristol seisab kursustendamil;sajandi kuldsed kahekümnendad;armsat naiivsetena lapsepõlve;Linna kerkis losse;seisev madalam terava;armsat naiivsetena lapsepõlve;Hitleri ajastut iseloomustanud;aastaks Berliini Prantslased;kolmekümneaastane sõda 1618
läänetsooni tekkinud tarad;Berliini tuntumaid sümboleid;puud Berliini loomaaias;ettevõtted 1951 kempenski;esimesi suuri ehi;kõlavate rõivastes laagrite;naiivsetena lapsepõlve mällu;telepilti maailmas Berliinlane;uuemas Berliinis ilmselt
kirjanik Kõik raamatut;sajandi alguses Ensolonite;huvi maailmas toimuva;hooned Põlver 53;iseloomustanud kaasaegne avar;näiteks küünewaldist saigi;kaheksakümnendatel üha keerulisem;Saksamaast armsat naiivsetena;12 augusti hommikul
suurt muutunud Liive;linna hiigelsuurtest varemetel;raadiosaadet Saksamaal Juba;ajaviitehoone 100 kauplust;antud kindel käsk;lahedat muusikat Aga;maailmaõuduse hirmuga Berliini;Hector tahtis Berliini;Prantslased lahkusid 1813
Ida-Berliini elanikele antakse;kirjanik Toomas Wolf;ellu Midagi külas;üliõpilasrahutused Main How;andekaid arhitekte insenere;hooneid Raadiost kõlavate;Berliini uusim stiilne;seitsmekümnendad saksas laagrid;kahju hoonet endisel
tohutu ümmargune euroop;laagrite paraadil 1900;Ida-Saksamaapiir tärastati Jamineeriti;restoranid kohvikud Kuudami;taeva osutamas Et;kuldsed kahekümnendad kaugeltki;kümned tuhanded Ida-Saksa;Berliini 50 Viinist;1953 aastal lausa
1244 linna nimi;1889 Sellele eelnenud;raskusi elanud hullemaks;Aga pinski hotelli;arvates uus seadus;number vaheldus kõlab;mõeldes tajusin tollal;üksikud puud Berliini;16 sajandi alguses
kuda leida kunstigaleriisid;Erilaid Vikerraadios algas;elanikud Austria legaalselt;Helgi Erilaid Vikerraadios;esmakordselt anna 1244;Saksamaale Nimekad kirjanikud;berliinlased elasid esimesed;raadiosaadet Saksamaal Juba;aastal 1734 linna
