keyphrase;score
erakordselt;0.9434
meeklass;0.9409
klassiklass;0.9382
enamusjagu;0.938
karikakramängusaade;0.9372
põgenema;0.9368
meeldiv;0.9367
põhiline;0.9367
üldse;0.9354
tegelikult;0.9353
põhinema;0.9351
lõppema;0.935
kirjandusteadlans;0.9344
meeldima;0.9341
muinasjutt;0.9336
B-klassiõpetaja;0.9335
klassiõde;0.9327
näljas;0.9321
sõprussuhe;0.9318
filmivõte;0.9316
sümpatiseerima;0.9316
olulisem;0.9314
raadio;0.9313
koolitund;0.931
kehtima;0.9304
pidutsema;0.9299
suunitlema;0.9294
kahetsema;0.9291
konkreetselt;0.9287
mõtlema;0.9285
kaheteistkümnes;0.9283
trügima;0.9282
eraldi;0.928
lõbustama;0.9279
aktiivsem;0.9274
haridussaade;0.9274
näitama;0.9274
virelema;0.9272
sümboolselt;0.9269
joonealune;0.9265
sähvatus;0.9261
eluaeg;0.9257
vormike;0.9256
täitsa;0.9255
tegemine;0.9245
sedasi;0.9235
avastama;0.9234
arvestama;0.9234
mängima;0.9225
punaselt;0.9224
küsitlema;0.9224
lavakas;0.9222
muinasjututeadlans;0.922
suitsukool;0.9218
tavaline;0.9217
lõpetaja;0.9214
esiteks;0.9213
täpselt;0.9213
arusaadav;0.9213
lühike;0.9206
nälg;0.9198
reageerima;0.9189
pääsema;0.9187
käsitlema;0.9187
erialane;0.9185
elus;0.9184
põhiliselt;0.9178
vähem;0.9178
meerimine;0.9176
kooliskäimine;0.9174
tähtsam;0.9173
teistmoodi;0.9172
keskne;0.9165
iseseisev;0.9164
laisk;0.9159
paratamatult;0.9157
pommiähvardus;0.9156
irvitama;0.9155
üritus;0.9154
mägi;0.9153
oksendama;0.9147
esiplaan;0.9146
kõrge;0.9131
kuuldasine;0.9129
näitlemine;0.9126
selgitama;0.9125
rahaliselt;0.9124
sobilik;0.9123
kuskile;0.9118
klassivend;0.9115
lihtsamalt;0.9114
näolne;0.9114
keelama;0.9113
tänavaküsitlus;0.9111
rahatäht;0.9103
julgema;0.9101
noot;0.9099
vetika;0.9097
kauane;0.9096
teadmik;0.9091
isiksus;0.9091
põnevam;0.9085
maailm;0.9081
raadiomaja;0.9079
varsti;0.9079
ametlik;0.9078
eksama;0.9075
pruukima;0.9071
reklaamitud;0.9064
joonistamisoskus;0.9063
endaealine;0.9062
üpris;0.9061
eelarvamus;0.9057
kirjutama;0.9057
valik;0.9057
tõeliselt;0.9054
niikuinii;0.9053
teatmeteos;0.9051
kommertskool;0.905
eriala;0.9047
vabadus;0.9043
koolipidu;0.9042
reegel;0.904
nelik;0.904
kuulamine;0.9039
Kristi;0.9038
aeg-ajalt;0.9038
esinema;0.9038
mõeldav;0.9037
eksamikomisjon;0.9036
saade;0.9036
sünnipäev;0.9033
sütiaat;0.9033
suutma;0.9033
imelikult;0.9026
kunstiülikool;0.9023
helistama;0.9023
päev;0.9021
piisavalt;0.902
nüüdne;0.9008
mittelaug;0.8999
reaali;0.8997
saane;0.8993
diaat;0.8991
telekas;0.8985
välismaa;0.8985
teinekord;0.8983
proovima;0.8981
tekkima;0.8981
eriline;0.898
kaastöö;0.8978
konkurss;0.8974
julgetama;0.8974
ajakirjandus;0.8966
korjama;0.8964
täiskasvanud;0.8949
kurss;0.8943
koolne;0.894
vaesus;0.8938
viskama;0.8938
tasuline;0.8935
perekond;0.893
ainuke;0.8927
laskma;0.8923
kuus;0.892
sümboolne;0.892
identne;0.8919
viimane;0.8917
kaheksane;0.891
metsik;0.8906
dzhungel;0.8903
suurem;0.8902
nii-öelda;0.8887
uuesti;0.8881
tsikk;0.8876
varem;0.8875
ajakirjanik;0.8875
Aule;0.8874
aastaringselt;0.887
ekstravagantne;0.8869
kahjuks;0.8862
Egiptus;0.8857
terve;0.8834
erinev;0.8815
sõjanupp;0.8806
õige;0.8799
egüptoloog;0.8747
laulukoor;0.874
klass;0.8719
põhikoolilävi;0.8707
enna;0.8684
João;0.8678
hiljem;0.8664
ilusti;0.8565
no;0.8499
lõpuks;0.8497
keskkool;0.8471
noorem;0.8308
eesti;0.827
Tallinn;0.7978
