EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
broadca System;käima pood;väike kommentaar;tüüpiline internetisurfaja;broadca System;Eesti vaatama;Eesti vaatama;vaatama USA;vähendama omavaheline
DVD-plaat tüüpiline;katsepolügoon meelitama;ütlema internet;võitlema Jan;uus toode;vaatama USA;kommentaar Eesti;uuem USA;DVD-plaat tüüpiline
telejaam hädavajalik;tüüpiline internetisurfaja;vaatama internetikasutaja;tasu kompenseerima;uus uuem;kommentaar Eesti;kodune Eesti;lühidalt CBS;USA suur
mõttelõng jõudma;CBS tooma;uudis väike;kommentaar Eesti;suutma vastane;uuem USA;vaatama USA;otsustama CBS;kaasa arvama
telekas õigem;meelitama hea;aeg telekas;näide segama;vastane võitlema;USA asuma;USA asuma;CBS tooma;võitlema Jan
vähem telekas;suhtlemine analüüs;tele raadiojaam;uudis käima;eeter portaal;kodune Eesti;tänane kommentaar;USA suur;vaatama USA
meelelahutuslik väärtus;internetisurfaja ostma;internet surfamine;rääkima blondinali;internet tasku;uuenev situatsioon;uuem USA;Eesti vaatama;tele raadiojaam
tüüpiline internetisurfaja;kõrvalepõige ütlema;pära internet;enamus telejaam;tasu kompenseerima;uudis omama;vaatama uudis;telejaam kaasa;võitlus vaataja
telekas kõrvalepõige;segama internet;vaatama uudis;reklaamitulu paraku;toimuv ohutu;tehnoloogia kommentaar;Eesti ajatu;vaatama internetikasutaja;vähem riik
nädal varasem;eeter portaal;internet uuring;Kristjan Port;kommentaar sisu;USA suur;USA suur;ütlema internet;paar panema
suur katsepolügoon;konkreetne silm;vana uudis;System lühidalt;nimelt suutma;värske uudis;uudis käima;enamus telejaam;paraku viimane
kõrvalepõige ütlema;CBS elama;tüüpiline internetisurfaja;S- juhtkond;muutuma osa;uudis käima;edulugu pahatihti;telejaam ülemiselt;raadiojaam Kolumbia
aeg meediatarbimine;S- juhtkond;internetikasutaja nädal;paraku viimane;vaatama poolteist;vaatama uudis;uudis omama;USA asuma;uudis valik
hädavajalik reklaamitulu;kasima S-;vähem telekas;telejaam kaasa;uuring vaatama;tänane kommentaar;uudis valik;suur telejaam;uudis DVD-plaat
üleni sinine;ütlema internet;osa telekajastus;vähem riik;küsimus kulgema;kommentaar esitama;värske uudis;vaatama uudis;uus toode
