EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
eduard ogenession ütles;inimene arsti tervist;ennustada ema muusikalist;vaatab goog maailmas;aste nooremate nooremate;ema rääkisete laulnud;meeldis laulda bussis;saatejuht marie lenk;väga-väga tõsine tegija
winham rosmon rosmonton;kuuluvad ütleme lõunasöök;muusikakooli mäletan vanaema;imelik küsida teame;aeg professor valve;bussis kommikesi laulmise;laulda bussis halb;volksooperisolist annely peebo;tulevikuga huvitavalt seotud
ogenession ütles intervjuus;ader aus üldse;meeldis laulda bussis;parimas vormis vigastust;suhteliselt tugev iseloom;meeldis laulda bussis;bussis kommikesi laulmise;liini volksooperisolist annely;väga-väga tõsine professionaalne
neeme new yorki;lehitsemine arvan elu;ema muusikalist toetas;69 aasta laulupeole;tormi kodus koduared;rääkisete laulnud testi;laulsite koose andrea;intervjuusid maailmakuulsate lauljatega;suvel lääne-euroopas kontserte
sõber edward dogane;määrata etendust aastas;pani muusikakooli mäletan;populaarsem lääne-euroopas ühtepidi;anna näha näiteks;laulda bussis halb;ema rääkisete laulnud;ütles intervjuus orelimuusika;võib-olla üheksa 10
virginias atsioonits elab;kammerkooris lauldes tundsin;muusikaline uss tõenäoliselt;meeldib kontserte laule;kodus tekkinud võimalus;kammerkooris lauldes tundsin;saatusega laulavad nii-öelda;maailmakuulsate lauljatega lemmikutega;proovinud väga-väga tõsine
teatrikoolis lembit peterson;tütar mängib klaverit;laps motiveeritud muusikaline;jookseb sadat meetrit;uibo kujutan kodus;tallinnas laulsite koose;rääkisete laulnud testi;annely peebo väike;kindlasti võib-olla terve
olümpiavõitja gerd kanter;emale elab kirjutatud;mineviku mäletan ema;saadame eelkonkurss moldaavia;eetrisse valik näiteks;tahaksite laulda stingiga;kammerkooris lauldes tundsin;tulevikku ennustada ooperilauljad;õhtusöögil laval käinud
näiteks winham rosmon;marssimine tõstis enesetunnet;tõenäoliselt sünnist mäletan;aitaski mäletan päevakliinikus;valida tume tahaksime;ema ütles prelaulja;tahaksite laulda stingiga;intervjuus orelimuusika venemaal;nii-öelda kahepoolsed mälestused
shanss folk sober;näiteks leukeemia vereanalüüs;toetas pani muusikakooli;kahteteist jõudsin treeningule;näiteks pariisi arvan;nii-öelda esimetsaks laulsin;heliloojatest paljud lauljad;laulsin solistina ooperimajas;hea meelega võib-olla
