EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,1,2,0,2,2,2,2,10,kirik; ameerika; tempel; laulma; jumalateenistus; ori
3,2,1,2,0,2,2,2,1,10,kirik; ameerika; tempel; laulma; jumalateenistus; ori
3,2,1,2,0,2,2,2,1,10,kirik; ameerika; tempel; laulma; jumalateenistus; ori
3,2,1,2,0,2,2,2,1,10,kirik; ameerika; tempel; laulma; jumalateenistus; ori
3,2,1,2,0,2,2,2,1,10,kirik; ameerika; tempel; laulma; jumalateenistus; ori
3,2,1,2,0,2,2,2,1,10,kirik; ameerika; tempel; laulma; jumalateenistus; ori
3,2,1,2,0,2,2,2,2,10,kirik; ameerika; tempel; laulma; jumalateenistus; ori
3,2,1,2,0,2,2,2,2,10,kirik; ameerika; tempel; laulma; jumalateenistus; ori
3,2,1,2,0,2,2,2,1,10,kirik; ameerika; tempel; laulma; jumalateenistus; ori
3,2,1,2,0,2,2,2,1,10,kirik; ameerika; tempel; laulma; jumalateenistus; ori
3,2,1,2,0,2,2,2,1,10,kirik; ameerika; tempel; laulma; jumalateenistus; ori
