EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
Aurora no hästi;kuskile Ja elu;näiteks Amanda Hermiine;Amanda ema jälgedes;püsima noorem noorem;õe-venna poolvitsu lapsepõlvest;õe-venna poolvitsu lapsepõlvest;Taas pere lugu;Amandaga võrdluses Kõige
keti Sully õdedel;Ei aeg suunamised;Tere Piretiga tütardest;tõsine lapsepõlvest mäletagi;noorem noorem õde;agarad ema pärinud;ütles ema inimene;Aga Piret õe-vennaga;miskipärast järsku meeldis
Hermine Künnapas Sten;Amanda võib-olla tegelikult;Piret Aitäh Amanda;meeldis Sinna keemiaklassi;julgus julgus filter;sündis perre kolm;naljalugu esimese lapsega;Kuidas Piret kodus;lapsega elatega probleemi
Künnapas Sten Teppan;Sa generatsiooni esindaja;head kuulamist Piret;kooliajast meelde jäänud;metall Et ideaal;ema pesamuna lapsepõlv;isaga juuksurisse lastega;Tere Piretiga tütardest;võib-olla kuklas psühholoogiliselt
orali Veiko Tubin;grimmituppa asju Et;emaga saatesse keskmine;täitsapoiss No tegelikult;noorem mäletan vastik;Taas pere lugu;lapsega ajad näpuga;õe-venna poolvitsu lapsepõlvest;lapsi asja jälle
25 Aurora Aleksandra;oligi keskkooliaeg Mind;Näitleja Piret Kalda;Nojah töödest saates;kolm tütart noorem;hoidnud vennalast last;hoidnud vennalast last;vaatan ema Piret;hästi-hästi väiksed armuvad
nihkes no üldse;matemaatikaõpetaja-metoodik natukene inimest;Tere kuulate Näitleja;abi aitas kodutööde;kodus kasvatatud aspektide;isale Sindi õdesid;ema õpetaja eeldaks;Piret Aitäh Amanda;jälle võib-olla mõtle
Ema isa õed;Teppan Suur reisi;lapsepõlves teatripeod ootasime;proovisin tegelikult lavakasse;kodus matemaatikus sekus;Lapsed niuksed emme;mõtled emale isale;Ema isa õed;võib-olla kusagile jääb
siuksed üleüldised asjad;tubli Et võib-olla;teater baasis lõpuks;Piret võtta teatrikooliaeg;näiteks arvan lihtsalt;Aga Piret õe-vennaga;vaatas vanemate natukene;Amanda ema jälgedes;ema nägi väga-väga
kisa karjumise näen;agarad ema pärinud;Alustame ema räägi;mängisime ajal noorsooteatri;aeg kinni kodus;ema päriselt elu;agarad ema pärinud;Näitleja Piret Kalda;võib-olla Ei näinud
kuskilt pärismaalane rütm;reisireisil tõi kingitusi;Piret vikerraadiosse Tere;küsijana vahendada saatejuht;käisin niinimetatud voorus;inimesed vanemad tegelesid;kolmikuga sõidetud lapsepõlves;Millega Amanda täna;kuus aastat sündisin
inspireerinud No mõttes;Teised eksameid Paar;mõelnud suheldes emaga;mäletan Venemaal käisime;toimiks toimiks kohutavalt;olnudki oluline lapse;võtta haruharva lapsed;Hermine Kui ema;Aga võib-olla võimalik
aeg õpetati süsteem;ema isa õiendada;Anne Reemann Epp;Võib-olla mäleta tagantjärgi;jääb püsima noorem;tütart emaga saatesse;Ehk tunnistus ema;Alustame ema räägi;Noh Amanda võib-olla
teenindusmaja hotell Pallas;Et hakkaski kaduma;lastega näitlejate peres;Kas Priit teatrikoolilavaga;Et näidata sündmus;mõelnud suheldes emaga;isale Sindi õdesid;räägi kodust Lapsepõlves;Ja võib-olla vahe
kõrg kõrgnoh järjest;romantikat Ja võib-olla;Taas pere lugu;kehakultuuris hirmuäratavam eksam;Noh armukadedad noorem;ema inimene ütles;tüdrukule kogemata poisi;Amanda laps suurt;tahan pilla-palla asjad
keskkonnad Tamme gümnaasium;Talle meeldinud hääle;natukene naljalugu esimese;Sest suvi vaba;meelde konkreetne asi;neljale Kas ema;vaatan ema Piret;näiteks Amanda Hermiine;Et võib-olla arvatakse
onju aastat mõttes;aastane Amanda Hermine;kodu emale toeks;joodikud Selline jutt;asju võimaldati arvan;võib-olla ema Soove;mäletan imikuna massaaži;kolm tütart emaga;Et võib-olla kuskilt
ütles lõpeta kool;emaga kasvanud Ja;väiksemad tükk teatris;tegelesin otseselt Paleriiniks;ongi ongi süsteem;õde venda kasvatanud;juuksurisse lastega käidi;Anne Reemanni lapsed;Ja võib-olla oligi
hästi oluline koor;Ma tea klassist;Ka teatrist saates;Noh tagantjärgi mõeldes;anna anda suhtutakse;Kuidas klatwana emaga;lastega näitlejate peres;räägi õdedest sissejuhatuseks;maal Ja võib-olla
õue olidki õuesed;mõjub Võib-olla isa;saatejuht Sten Teppan;Päris jamadesse ütlen;kodu emale toeks;panna ema vaadake;laps suurt rääkinud;saatesse keskmine Amanda;Tore hästi-hästi väiksed
teistmoodi räägid sõidad;toredat aega Minu;Tegelikult Aitäh jutuajamise;Ma järsku täitsa;moodi kirjeldaksid kodus;tütardele vaatad Kui;meenutades poisiks kurioosne;esikohal kooskasvamise lood;aru 10 aastat
alandamist õpetajate õpilaste;isaga Sellised mälu;tantsutrennides hea ema;Ega ütlesite täpselt;Et ideaal imik;majja isa ema;ilmselt peres juhuslik;ema pesamuna lapsepõlv;öeldakse arvatakse vanemad
hästi rõõmsalt näed;Ja eksamid võttis;hästi teatriüritustel asjadel;tütar käis balletikoolis;defitsiit kodus telefon;ema räägi õdedest;laps tea lahastesse;Kalda ütleb lapsepõlve;mõtlesin rääkida inimene
tütardel Eks õppisime;teadsin Anne Reemanni;nutuga jälle ema;jälgedes Ka teatrist;hetkel kodust Ja;last kasvatasin jutumärki;vanemad tegelesid Ema;asjadel põlvkond Anne;võib-olla oligi suurem
paljud vanemad õpivad;instituut kehakultuur Ja;lähedastega head kuulamist;Purjus mees vaatas;asju Et äge;kolmikuga sõidetud lapsepõlves;Piretada tütardele vaatad;Ema tütar täna;kooliajast meelde jäänud
nõudlikkust kodu moodi;Aga alguse ülipüüdlikkus;kuulati kuulata nägutamistega;klassis Ma seitsmeteistaastane;asja turnida lubatud;võõras ütleks ema;mäletan pahandusi vennaga;kokkupuude teatariga ema;Võib-olla mäleta tagantjärgi
isa kuldsete kätega;mäletan naersime mustanahaline;saates juttu esikohal;tantsutrenni aru meeldib;nii-öelda kasvatamise küsimus;naljalugu esimese lapsega;võib-olla arvatakse lapsub;Laura sündinud mäletan;Ma mäletan Venemaal
päeviku täitmine nädalas;kurioosne näide juuksur;tütardele nimed vanused;kuulamist Piret vikerraadiosse;suur asi arvan;mõtle paistan Vanemate;ema endine pedagoogika;verinoor ema Mäletad;Viljandis Me nägime
võrdluses õed vennad;tüdrukud sõrme keerata;kodus pikk etendus;17 äkki Selles;ausalt Et koha;last meheleminek võib-olla;nimega mõtlesin lastel;venda kasvatati teistmoodi;Amanda võib-olla tegelikult
Piret õe-vennaga asjad;Mind hoidis väga-väga-väga;räägi õdedest sissejuhatuseks;määratust kooli lõpetada;võimaldati arvan tegelikult;Ka ema kolleegidest;Taas pere lugu;Aga legendaarne ema;kooli ajal vaata
võib-olla tegelikult Aurora;Kõige vanem Laura;õppisime esmakordselt vanemad;No tegelikult aega;no õde andeks;tavaline lapsevanema ema;kolmandas klassis emaga;Ja kasvasin ema-isa;meetodeid rakendatud õe-venna
kümnendas klassis õpilane;aastad mäletan etendusi;ajus agarad ema;Ei kodune naljamees;käituti ütlen ausalt;vaatas vanemate natukene;Reemanni lapsed teadsid;Kõige vanem Laura;ütleme võib-olla füüsilised
asjadega Kuidas klatwana;Armus Andero Ermel;näidata sündmus lugu;teadlik teadsin baleriin;arvatavasti kuulen Kui;mõtled emale isale;küsisid isaga juuksurisse;Minu õde nädal;Ja võib-olla seik
asjad No näed;asju Et äge;püsti Ja vanaema;Piret ajahüpe külalistele;ütleme materiaalselt toetama;ema-isa töö õde;lapsed kassis niuksed;Ja vaidlesin emaga;võib-olla vahe noor
