EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,7,4,6,5,5,5,6,13,aeg; port; surfaja; uudis; kristjan; internet; tehnoloogia
7,7,7,4,6,5,5,5,6,13,aeg; port; surfaja; uudis; kristjan; internet; tehnoloogia
7,7,7,4,6,5,5,5,6,13,aeg; port; surfaja; uudis; kristjan; internet; tehnoloogia
7,7,7,4,6,5,5,5,6,13,aeg; port; surfaja; uudis; kristjan; internet; tehnoloogia
7,6,7,4,6,4,6,5,6,13,aeg; port; surfaja; uudis; kristjan; internet; tehnoloogia
7,6,5,4,7,4,5,6,6,13,aeg; port; surfaja; uudis; kristjan; internet; tehnoloogia
7,6,5,4,7,5,5,7,7,13,aeg; port; surfaja; uudis; kristjan; internet; tehnoloogia
7,6,5,6,7,5,5,7,7,13,aeg; port; surfaja; uudis; kristjan; internet; tehnoloogia
7,7,4,7,7,6,6,7,6,13,aeg; port; surfaja; uudis; kristjan; internet; tehnoloogia
7,7,5,7,7,6,5,7,5,13,aeg; port; surfaja; uudis; kristjan; internet; tehnoloogia
7,7,5,7,6,5,5,7,4,13,aeg; port; surfaja; uudis; kristjan; internet; tehnoloogia
