EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,5,3,4,5,3,5,4,12,hiiemäe; ehmatamine; uskumus; kaitsemaagia; reet; tervisehäda; meditsiin
6,5,5,3,4,5,3,5,4,12,hiiemäe; ehmatamine; uskumus; kaitsemaagia; reet; tervisehäda; meditsiin
6,4,5,3,4,5,4,5,4,12,hiiemäe; ehmatamine; uskumus; kaitsemaagia; reet; tervisehäda; meditsiin
6,3,4,3,4,5,4,5,4,12,hiiemäe; ehmatamine; uskumus; kaitsemaagia; reet; tervisehäda; meditsiin
6,3,4,3,4,5,4,5,4,12,hiiemäe; ehmatamine; uskumus; kaitsemaagia; reet; tervisehäda; meditsiin
5,3,4,3,3,5,3,4,4,12,hiiemäe; ehmatamine; uskumus; kaitsemaagia; reet; tervisehäda; meditsiin
6,2,5,3,3,6,5,3,3,12,hiiemäe; ehmatamine; uskumus; kaitsemaagia; reet; tervisehäda; meditsiin
4,2,3,2,2,4,4,3,4,12,hiiemäe; ehmatamine; uskumus; kaitsemaagia; reet; tervisehäda; meditsiin
4,2,3,2,2,3,4,3,3,12,hiiemäe; ehmatamine; uskumus; kaitsemaagia; reet; tervisehäda; meditsiin
4,3,3,2,2,4,4,3,3,12,hiiemäe; ehmatamine; uskumus; kaitsemaagia; reet; tervisehäda; meditsiin
2,2,3,3,2,4,4,3,2,12,hiiemäe; ehmatamine; uskumus; reet; kaitsemaagia; tervisehäda; meditsiin
