EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,8,7,8,8,8,8,8,13,paavst; issand; johannes; püha; jumal; neitsi; kolmas; gregorius
8,7,8,7,8,8,8,8,8,13,paavst; issand; johannes; püha; jumal; neitsi; kolmas; gregorius
8,7,8,7,8,8,8,8,8,13,paavst; issand; johannes; püha; jumal; neitsi; kolmas; gregorius
8,7,7,7,8,8,7,8,8,13,paavst; issand; johannes; püha; jumal; neitsi; kolmas; gregorius
8,7,8,7,8,8,7,8,8,13,paavst; issand; johannes; püha; jumal; neitsi; kolmas; gregorius
8,7,7,8,8,7,7,7,8,13,paavst; issand; johannes; püha; jumal; neitsi; kolmas; gregorius
8,6,8,7,8,7,7,7,8,13,paavst; issand; johannes; püha; jumal; neitsi; kolmas; gregorius
8,7,8,6,8,7,7,6,8,13,paavst; issand; johannes; püha; jumal; neitsi; kolmas; gregorius
7,7,8,7,7,7,7,6,8,13,paavst; issand; johannes; püha; jumal; neitsi; kolmas; gregorius
7,7,8,7,7,6,7,7,7,13,paavst; issand; johannes; püha; jumal; neitsi; kolmas; gregorius
7,7,8,8,8,6,6,7,7,13,paavst; issand; johannes; püha; jumal; neitsi; kolmas; gregorius
