EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,5,6,3,6,5,5,5,5,11,raamat; kreutzwald; jakobson; mulgi; eesti; inimene; rahvajutt
3,6,6,2,6,4,5,5,5,11,raamat; kreutzwald; jakobson; mulgi; eesti; inimene; rahvajutt
3,6,6,3,5,3,5,5,5,11,raamat; kreutzwald; jakobson; mulgi; eesti; inimene; rahvajutt
3,6,6,3,5,3,4,5,5,11,raamat; kreutzwald; jakobson; mulgi; eesti; inimene; rahvajutt
5,5,6,3,5,2,6,5,5,11,raamat; kreutzwald; jakobson; mulgi; eesti; inimene; rahvajutt
3,6,5,4,5,6,5,4,5,11,raamat; kreutzwald; jakobson; mulgi; eesti; inimene; rahvajutt
2,5,5,5,5,7,4,5,5,11,raamat; kreutzwald; jakobson; mulgi; eesti; inimene; rahvajutt
3,5,4,6,5,6,3,5,5,11,raamat; kreutzwald; jakobson; mulgi; eesti; inimene; rahvajutt
4,5,4,6,5,6,4,6,5,11,raamat; kreutzwald; jakobson; mulgi; eesti; inimene; rahvajutt
4,5,4,7,5,6,4,5,4,11,raamat; kreutzwald; jakobson; mulgi; eesti; inimene; rahvajutt
6,4,4,6,5,7,4,4,5,11,raamat; kreutzwald; jakobson; mulgi; eesti; inimene; rahvajutt
