EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,2,4,2,2,2,2,3,2,12,laps; kreem; betti; pärtel; anni; rätsep; sass
0,2,4,2,2,3,2,3,2,12,laps; kreem; betti; pärtel; anni; rätsep; sass
0,3,4,2,2,3,1,3,2,12,laps; kreem; betti; pärtel; anni; rätsep; sass
0,3,2,2,2,3,2,3,2,12,laps; kreem; betti; pärtel; anni; rätsep; sass
0,3,3,2,3,1,2,3,3,12,rätsep; laps; kreem; betti; pärtel; anni; nennike; sass
0,3,2,2,3,1,3,3,2,12,laps; kreem; nennike; betti; pärtel; anni; rätsep; sass
1,4,3,3,4,2,1,5,2,12,laps; kreem; nennike; betti; pärtel; anni; rätsep; sass
1,2,4,3,5,2,1,7,3,12,laps; kreem; nennike; betti; pärtel; anni; rätsep; sass
1,2,5,3,3,3,2,5,3,12,rätsep; laps; kreem; betti; anni; nennike; sass
2,2,3,3,3,3,2,5,3,12,rätsep; laps; kreem; betti; anni; nennike; sass
2,2,1,3,2,3,1,4,3,12,rätsep; laps; kreem; betti; anni; nennike; sass
