EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,2,4,2,3,2,2,1,2,12,portaal; kristjan; nobeli; armutu; port
2,2,5,2,3,2,2,1,2,12,portaal; kristjan; nobeli; armutu; port
2,2,5,2,5,3,2,1,2,12,portaal; kristjan; nobeli; armutu; port
2,2,5,2,5,3,2,1,2,12,portaal; kristjan; nobeli; armutu; port
2,2,4,2,5,4,3,1,2,12,portaal; kristjan; nobeli; armutu; port
1,2,4,3,5,4,3,3,2,12,portaal; kristjan; nobeli; armutu; port
2,2,4,3,5,5,3,4,2,12,portaal; kristjan; nobeli; armutu; port
2,2,4,3,5,5,4,4,2,12,portaal; kristjan; nobeli; armutu; port
2,2,4,4,5,5,4,4,2,12,portaal; kristjan; nobeli; armutu; port
2,2,4,4,4,5,5,4,2,12,portaal; kristjan; nobeli; armutu; port
2,2,4,4,4,5,5,4,3,12,portaal; kristjan; nobeli; armutu; port
