EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,6,6,4,8,6,6,7,16,tormis; kontsert; peela; veljo; dirigent; ungari; serenaad; rahvusvaheline; kammerkoor; publik; kaljuste; tõnu
7,7,6,6,4,8,6,7,8,16,peela; rahvusvaheline; publik; tõnu; tormis; kontsert; veljo; dirigent; ungari; serenaad; kammerkoor; kaljuste
7,7,6,6,5,6,5,7,8,16,peela; rahvusvaheline; publik; tõnu; tormis; kontsert; veljo; dirigent; ungari; serenaad; kammerkoor; kaljuste
7,7,5,6,6,6,5,7,8,16,peela; rahvusvaheline; publik; tõnu; tormis; kontsert; veljo; dirigent; ungari; serenaad; kammerkoor; kaljuste
7,7,7,6,6,8,5,8,8,16,peela; rahvusvaheline; publik; tõnu; tormis; kontsert; veljo; dirigent; ungari; serenaad; kammerkoor; kaljuste
8,7,6,7,6,8,6,6,8,16,peela; rahvusvaheline; publik; tõnu; tormis; kontsert; veljo; dirigent; ungari; serenaad; kammerkoor; kaljuste
6,4,10,6,6,6,7,8,8,16,peela; rahvusvaheline; publik; tõnu; tormis; kontsert; veljo; dirigent; ungari; serenaad; kammerkoor; kaljuste
4,5,6,5,6,8,6,9,7,16,peela; rahvusvaheline; publik; tõnu; tormis; kontsert; veljo; dirigent; ungari; serenaad; kammerkoor; kaljuste
7,5,5,3,6,8,7,8,8,16,peela; rahvusvaheline; publik; tõnu; tormis; kontsert; veljo; dirigent; ungari; serenaad; kammerkoor; kaljuste
6,5,8,4,8,8,8,8,8,16,peela; rahvusvaheline; publik; tõnu; tormis; kontsert; veljo; dirigent; ungari; serenaad; kammerkoor; kaljuste
5,5,3,4,7,7,7,9,8,16,peela; rahvusvaheline; publik; tõnu; tormis; kontsert; veljo; dirigent; ungari; serenaad; kammerkoor; kaljuste
